协心戮力 道合志同 同心合胆 身在曹营心在汉 百虑攒心
汲汲皇皇 来势汹汹 汲汲忙忙 狼餐虎咽 狼吞虎餐
奋发有为 奋发踔厉 井井有绪 激昂慷慨 井井有序
心知其意 融汇贯通 融会通浃 融释贯通 深切著明
知遇之恩 识才尊贤 以誉为赏 讽德诵功 戴高帽子
餐风啮雪 餐风茹雪 宿水餐风 餐风咽露 餐风宿雨
博学多才 学富才高 才学兼优 通文达艺 才高识远
赤身裸体 合盘托出 匿迹销声 四肢百骸 彻内彻外
多才多艺 朱弦三叹 正声雅音 余韵流风 妙舞清歌
临危授命 危急存亡之秋 百死一生 一死一生 死里求生
表里相依 音相应 生死与共 生死相依 团头聚面
卷甲倍道 卷甲束兵 韬戈卷甲 束戈卷甲 被甲持兵
蝇头蜗角 蜗角蝇头 蝇名蜗利 蜗角虚名 蝇头微利
流水游龙 马如游龙 上窜下跳 云趋鹜赴 滔滔不断
祝发空门 身做身当 亲操井臼 在家出家 自取灭亡
自不待言 可想而知 百辞莫辩 众目昭彰 无庸置辩
见义勇为 见义必为 见义敢为 见义当为 捐身徇义
清莹秀澈 一廉如水 渊清玉絜 冰洁渊清 玉润冰清
奉公如法 干干翼翼 照章办事 安分守已 安份守己
扶弱抑强 防芽遏萌 助人下石 借交报仇 借客报仇
主守自盗 监临自盗 监主自盗 漫藏诲盗 明抢暗偷
客死他乡 长眠不起 三长两短 出死入生 天年不测
横无忌惮 唯所欲为 逍遥自在 逍遥自得 放达不羁
匠心独运 匠心独具 独具匠心 别具匠心 独得之见
铮铮佼佼 脱颖囊锥 彩笔生花 东南竹箭 囊锥露颖
磊落飒爽 壮发冲冠 噙齿戴发 汪洋自恣 风行电击
书香门第 一介书生 文籍先生 燕颔儒生 邺架之藏
二话不说 不言而喻 少言寡语 旁枝末节 渺无音讯
斐然成章 奇文共赏 雅人韵士 雄文大手 量金买赋
人非物是 时易世变 时移世易 与时推移 与世推移
文修武偃 揆文奋武 偃武崇文 治国安邦 扶危定乱
风行电击 虎狼之势 秋风扫叶 风激电飞 叱嗟风云
毫不利己，专门利人 公而忘私 惟利是趋 惟利是求 惟利是图
坚执不从 应变无方 随俗浮沉 和而不唱 中立不倚
优游自在 半低不高 悠闲自在 小康之家 半上半下
啼啼哭哭 忿然作色 忿火中烧 哭哭啼啼 怫然作色
七慌八乱 丢魂丧胆 失魂丧胆 马仰人翻 七颠八倒
脏污狼藉 名不符实 声名狼藉 误国殃民 公私交困
嚎天喊地 鬼哭狼嚎 鬼哭神嚎 神号鬼哭 狼号鬼哭
大工告成 大功毕成 一呵而就 事以密成 径情直行
自视甚高 骄傲自满 看人行事 先人后己 自我牺牲
偃革尚文 偃武崇文 树俗立化 来好息师 古为今用
时绌举赢 时诎举赢 趁人之危 矫情饰诈 挺而走险
间不容缓 连二赶三 从容自如 干净利索 快刀斩乱麻
两道三科 言无伦次 言颠语倒 恶语相加 掉舌鼓唇
画荻和丸 画荻丸熊 煨干避湿 画荻教子 家传户颂
将计就计 运计铺谋 运智铺谋 先下手为强 熟门熟路
附势趋炎 根株附丽 不挑之祖 攀炎附热 天王老子
龙章凤彩 龙姿凤采 凤骨龙姿 雄姿英发 风流潇洒
疗疮剜肉 深刺腧髓 抠心挖肚 钻心刺骨 狐埋狐搰
寸地尺天 漫天匝地 漫天掩地 履险蹈危 浮迹浪踪
不饥不寒 家给人足 家给民足 足衣足食 节用裕民
敬老慈幼 假慈悲 敬老慈少 敬老慈穉 子孝父慈
不知起倒 心中无数 胸中无数 一知半解 不知利害
临危授命 百死一生 危急存亡之秋 死中求活 一死一生
低眉垂眼 俯仰之间 胁肩低眉 俯首贴耳 俯首帖耳
东窗计 有利可图 狡焉思启 求益反损 图财害命
齐家治国 秉钧持轴 济世安民 安国宁家 大权在握
逸态横生 雍容大度 风流潇洒 光彩耀目 神清气茂
承先启后 变俗易教 相沿成俗 蹈袭前人 因袭陈规
饭粝茹蔬 褐衣蔬食 布衣蔬食 恶衣粝食 口多食寡
金兰之交 金石之坚 心如铁石 铁心石肠 心如金石
倚官挟势 倚官仗势 重望高名 权重望崇 大权在握
涤瑕蹈隙 狗屁不通 东怨西怒 函矢相攻 是非口舌
慧心妙舌 才识过人 博学多才 通文达艺 多才多艺
世扰俗乱 不正之风 世道人心 败俗伤风 败俗伤化
分而治之 画野分疆 画土分疆 此疆尔界 此界彼疆
玉碎香消 香消玉殒 玉碎香销 玉碎香残 香消玉碎
少吃俭用 简要不烦 删华就素 增收节支 朴素无华
终始不渝 信守不渝 坚守不渝 誓死不渝 始终不懈
生动活泼 丰富多彩 丰富多采 千汇万状 言简义丰
蛇心佛口 佛口蛇心 心狠手辣 宰相肚里好撑船 佛心蛇口
千汇万状 井井有绪 鹤长凫短 条贯部分 千变万状
热情洋溢 触物兴怀 触目崩心 触物伤情 触景伤心
造端倡始 改换家门 井井有序 供过于求 鸱张门户
坚持不渝 坚守不渝 安故重迁 恪守不渝 至死不渝
眼花心乱 弓影浮杯 七上八下 疑团满腹 满腹疑团
反正拨乱 安邦治国 治国安邦 匡乱反正 济世安民
心如刀绞 心如刀割 苦不可言 心如刀锉 心如刀锯
修辞立诚 寓情于景 即景生情 情见乎词 情见乎言
表里相依 根牢蒂固 铁板一块 添枝接叶 铜打铁铸
得意之作 叹观止矣 探观止矣 可心如意 十全十美
幡然悔悟 打破迷关 捐弃前嫌 一反常态 革旧图新
旷心怡神 怡性养神 百般抚慰 自得其乐 悠闲自在
讹言惑众 造谣惑众 造谣生非 造谣生事 哗众取宠
光彩陆离 交相辉映 千汇万状 鲜艳夺目 奇光异彩
了不可见 一叶障目 凡胎肉眼 遥遥在望 有目共睹
坐享其功 求人不如求己 无妄之福 不劳而获 骄傲自满
龙心凤肝 龙肝凤髓 龙肝凤脑 龙肝豹胎 凤髓龙肝
自行其是 虚己受人 见机行事 坚执不从 通功易事
载驰载驱 载驱载驰 策马飞舆 驱霆策电 鼻端生火
舍死忘生 舍己救人 舍生忘死 忿不顾身 慷慨捐生
中立不倚 谠言嘉论 持平之论 我心如秤 公明正大
引以为憾 事出有因 怀冤抱屈 飞灾横祸 飞来横祸
酒有别肠 急处从宽 旁枝末节 恶不去善 身单力薄
地棘天荆 荆棘满途 荆天棘地 荆棘载途 荆棘塞途
合二为一 移有足无 较若画一 合两为一 化零为整
烘托渲染 体物缘情 遗声坠绪 神领意造 随物赋形
繁枝细节 枝繁叶茂 千汇万状 毛举细务 逐末弃本
飞沙走石 走石飞沙 飞砂走石 飞沙走砾 重山峻岭
忍辱含羞 忍辱含垢 含垢忍耻 含污忍垢 忍垢偷生
七步之才 才高七步 连三跨五 击电奔星 脱颖囊锥
损己利人 夺人所好 弃公营私 利己损人 营私罔利
长虑却顾 长虑后顾 心向往之 心乡往之 神醉心往
悦目赏心 目不暇给 引人注目 春和景明 鲜艳夺目
修辞立诚 当务始终 潘文乐旨 遣辞措意 文似其人
奋发有为 奋发踔厉 激昂慷慨 宏材大略 井井有绪
杨生黄雀 杨雀衔环 黄雀衔环 以德报德 颂德歌功
始终不懈 终而复始 接三连四 接连不断 连绵不绝
阳春有脚 权重望崇 居轴处中 重望高名 量能授官
窝火憋气 按捺不住 百般抚慰 感慨激昂 斗志昂扬
孤文断句 只言片语 自树一帜 连类比物 比物连类
和颜说色 和容悦色 假人辞色 假以辞色 和颜悦色
矫情饰诈 弄虚作假 取信于民 溢美之语 溢美之言
张口掉舌 面命耳提 耳提面命 使嘴使舌 大发议论
做张做势 开弓不放箭 铺眉蒙眼 拿班作势 铺眉苫眼
百紫千红 砌红堆绿 花攒锦簇 灯火辉煌 重葩累藻
分烟析产 各安生业 别财异居 分甘共苦 收离聚散
玉惨花愁 没精打彩 月缺花残 花残月缺 柳泣花啼
弄眉挤眼 鄙夷不屑 别作一眼 一隅之说 眉目传情
见机而作 相机而动 当机立断 稳步前进 待时而动
贪财好色 射利沽名 好色之徒 争名夺利 逐名趋势
负薪构堂 零圭断璧 稽古揆今 龟文鸟迹 珠零玉落
形单影双 形只影单 孤苦零丁 无依无靠 黑灯瞎火
逢机遘会 以权达变 历精更始 发奋图强 励精更始
拍马溜须 奴颜婢睐 低声下气 伏低做小 服低做小
皂白不分 一清二楚 历历可见 丁一确二 明明白白
断决如流 剖决如流 令行如流 滔滔不竭 滔滔不断
普天同庆 欢聚一堂 亿兆一心 率土同庆 人所共知
醉生梦死 恍如梦境 如醉初醒 如梦初觉 恍如梦寐
黍离麦秀 麦秀黍离 孤鸾照镜 鹤归华表 狐死兔泣
一山不藏二虎 冰炭不同炉 以水投石 水里纳瓜 冰炭不投
哑然失笑 掩口失声 捧腹大笑 笑不可仰 忍俊不禁
旷日累时 旷日离久 劳而无功 历日旷久 所费不赀
鄙吝复萌 尊古卑今 轻世肆志 曲学阿世 重纰貤缪
敢为敢做 不避艰险 临危不惧 任劳任怨 忿不顾身
洒心更始 返邪归正 回邪入正 迁善改过 返本朝元
如醉如梦 昏头搭脑 昏昏噩噩 云天雾地 如堕烟雾
不足与谋 不值一驳 不知其详 语无诠次 渺不足道
原始反终 推本溯源 穷源朔流 原始要终 追本穷源
升官发财 加官进禄 发财致富 因任授官 进禄加官
矫情饰诈 做鬼做神 弄虚作假 打马虎眼 狂三诈四
夹枪带棒 泥中隐刺 贵人善忘 话里有刺 话里带刺
长颈鸟喙 唇尖舌利 舌锋如火 尖言冷语 巧言利口
松柏之寿 黄发儿齿 七老八十 万世无疆 风烛之年
不知去向 趋吉避凶 东躲西藏 东藏西躲 欲谁归罪
俯首就缚 威迫利诱 威胁利诱 解黏去缚 故入人罪
关门闭户 深扃固钥 万籁无声 万赖无声 万赖俱寂
枝繁叶茂 接三连四 连理之木 风韵犹存 土生土长
壮气凌云 铁板铜弦 雄伟壮观 来势汹汹 悲歌易水
深切著明 深切着明 荦荦大者 赫赫有名 彰明较着
翻江倒海 风驰雨骤 急风骤雨 滂沱大雨 浩浩荡荡
遵养晦时 表里受敌 背腹受敌 四面受敌 以攻为守
穷源溯流 溯流穷源 逆水行舟 同源共流 依山傍水
秉正无私 大中至正 公正不阿 公明正大 不偏不党
层出不穷 层见叠出 层见迭出 返来复去 三翻四复
得过且过 云霓之望 水中捉月 鼷鼠饮河 鼷腹鹪枝
日以为常 相沿成习 积习成俗 相沿成俗 习以成俗
乌头白马生角 乌头白，马生角 煎水作冰 钻火得冰 云飞雨散
喜怒哀乐 情深一往 百感交集 情见乎词 情见乎言
剗恶锄奸 刬恶锄奸 革奸铲暴 祛蠹除奸 讨恶翦暴
论议风生 论辩风生 发科打诨 巧言利口 谈论风生
抉瑕摘衅 涤瑕蹈隙 披毛索靥 挑毛拣刺 鸡蛋里找骨头
笔耕砚田 砥志研思 学书学剑 能者多劳 设心积虑
人文荟萃 甄奇录异 诸如此例 广开才路 以言举人
忘恩失义 忘恩背义 里通外国 强奸民意 瞒神弄鬼
原始反终 推本溯源 穷源朔流 原始要终 讨类知原
简贤任能 使贤任能 甄奇录异 任贤使能 养贤纳士
为非作恶 一还一报 罪业深重 罪恶深重 贼人心虚
遣将调兵 遣将征兵 调兵遣将 遣兵调将 放马华阳
相生相成 相因相生 相克相济 通同一气 东鸣西应
火上弄冰 掌上观文 掌上观纹 热熬翻饼 手到拈来
语无诠次 话中带刺 攻瑕指失 借古讽今 冷嘲热骂
心乔意怯 惊慌失色 惊惶失色 惶惶不安 惶恐不安
顾头不顾尾 如醉如痴 如痴如醉 不知丁董 二心两意
救难解危 救困扶危 持危扶颠 扶危救困 救急扶伤
冷酷无情 漠不关心 冷心冷面 无所用心 寡情薄意
移星换斗 析律舞文 唯妙唯肖 神至之笔 井井有方
语重心长 言约旨远 恢宏大度 言简义丰 陂湖禀量
遁天妄行 遁天之刑 脱天漏网 放纵不羁 倒行逆施
山砠水厓 深山野墺 依山傍水 山陬海澨 偏乡僻壤
大错特错 谬以千里 千差万错 谬妄无稽 失之毫厘，差以千里
隐居求志 功遂身退 卖剑买琴 一行作吏 遗世忘累
劳而无功 旷日累时 轻虑浅谋 绞尽脑汁 事倍功半
万赖俱寂 万赖无声 万籁无声 阒然无声 无声无息
见义勇为 见义必为 见义敢为 见义当为 捐身徇义
摧身碎首 于事无补 齑身粉骨 陨身糜骨 殒身碎首
有嘴没舌 傻头傻脑 顿口拙腮 涩于言论 愚昧无知
凤仪兽舞 梯愚入圣 通真达灵 养威蓄锐 百虑一致
转日回天 叱嗟风云 回山倒海 天摇地动 秋风扫叶
祸及池鱼 祸近池鱼 损兵折将 七损八伤 水净鹅飞
马到成功 来处不易 马到功成 开华结果 鸟枪换炮
钩金舆羽 量如江海 无可比伦 无可名状 力不能支
逢场作乐 逢场作趣 逢场游戏 追欢作乐 调三惑四
浆水不交 求浆得酒 一清如水 臣心如水 中流击楫
狼顾虎视 如狼似虎 狼心狗肺 狗肺狼心 狗行狼心
贪脏枉法 蔑伦悖理 邪魔歪道 淫言诐行 不正之风
迥乎不同 天壤悬隔 万别千差 十万八千里 千差万别
韬光灭迹 潜形匿迹 讳莫高深 饮食男女 韬光养晦
怆然涕下 泣下如雨 泪如雨下 泪下如雨 啼啼哭哭
殊形妙状 奇形怪状 诡形奇制 怪形怪状 怪模怪样
造言生事 造谣生事 造言捏词 造谣惑众 矫情饰诈
衔玉贾石 衒玉贾石 货而不售 炫玉贾石 卖主求荣
久而久之 历日旷久 积日累久 旷日离久 日久天长
东南之宝 东南之秀 南州冠冕 东南之美 一时之选
同心并力 同心合力 一心一德 同心一力 同心叶力
联篇累牍 盈篇累牍 连帙累牍 连章累牍 连篇累帧
世扰俗乱 麋沸蚁动 不正之风 匡乱反正 杂乱无序
天授地设 天生天化 油然而生 起根发由 逾淮之橘
骈兴错出 油然而生 出乎预料 出乎意料 像心适意
盘石之固 磬石之固 不拔之志 银山铁壁 铁壁铜墙
雪北香南 碎琼乱玉 乱琼碎玉 雪窑冰天 冰天雪窑
异名同实 大同小异 心口相应 百口同声 众口同声
成败论人 称德度功 采及葑菲 日省月试 自告奋勇
千恩万谢 谆谆诰诫 醉酒饱德 热心苦口 千叮万嘱
齿落舌钝 话里藏阄 不知头脑 笑而不答 影影绰绰
数不胜数 更仆难终 更难仆数 更仆难尽 不可胜数
昼夜兼程 闯南走北 知难而进 负重涉远 水远山遥
惊耳骇目 骇人视听 荡魂摄魄 惊心眩目 骇人闻见
怙过不悛 改过不吝 屡教不改 累教不改 绳愆纠缪
毫不利己，专门利人 惟利是求 惟利是图 惟利是视 惟利是趋
囊匣如洗 生民涂炭 身无分文 步雪履穿 上无片瓦，下无卓锥
杅穿皮蠹 饥餐渴饮 杯水舆薪 如饥似渴 赏不逾时
和蔼可亲 和蔼近人 心慈面软 来者不善 假慈悲
弱本强末 分而治之 精兵简政 左建外易 扶弱抑强
莫逆于心 情投谊合 情投意忺 心照情交 心照神交
清汤寡水 油渍麻花 抟沙嚼蜡 油腔滑调 食不终味
春意阑珊 乐往哀来 年衰岁暮 名存实亡 油干灯草尽
当世无双 独得之见 逸群之才 曾无与二 闳识孤怀
犀角烛怪 鸿渐之仪 一字连城 雄文大手 雅人韵士
潜移默运 潜移默转 潜移默夺 末节细行 应变无方
来而不往非礼也 小恩小惠 服服贴贴 恩恩相报 拍板成交
文子同升 退步抽身 南阮北阮 衣食税租 一家一火
通才硕学 钜学鸿生 有识之士 博学多才 才识过人
女长须嫁 男大当娶 男大须婚 男婚女嫁 男婚女聘
星月交辉 灯火辉煌 鸿图华构 交相辉映 良宵好景
回肠寸断 千状万端 神愁鬼哭 鬼哭神愁 呕心抽肠
如醉如痴 如痴如醉 失张失志 失张失致 七上八落
忧国忧民 忧国爱民 国步艰难 以天下为己任 匹夫有责
人强胜天 以弱胜强 风行草靡 人众胜天 竭智尽力
断墨残楮 残编裂简 遗编绝简 遗编断简 书缺有间
五子登科 三星在户 百年好事 大吉大利 荣谐伉俪
莫可究诘 不可究诘 盘根究底 追根究底 盘根问底
外厉内荏 外强中瘠 貌似强大 表里不一 怕硬欺软
顿足搥胸 顿足捶胸 拊膺顿足 指手顿脚 跌脚捶胸
枝繁叶茂 刻翠裁红 点石成金 烈火烹油 天大地大
咂嘴弄唇 开弓不放箭 外厉内荏 东拦西阻 招架不住
貌离神合 名同实异 树同拔异 本同末离 话中有话
无名之师 出师无名 兵出无名 师出无名 不容置喙
毫发丝粟 虫臂鼠肝 鼠肝虫臂 微乎其微 鸡头鱼刺
一语破的 似箭在弦 一心同归 弦无虚发 折箭为誓
改行为善 积德累善 改行迁善 改行从善 以恶报恶
天理昭彰 天理昭昭 推诚布公 大中至正 居仁由义
乐在其中 贪生畏死 乐不可极 视死如饴 自得其乐
鹄峙鸾停 仪静体闲 眉目如画 兰心蕙性 仙姿玉色
熬清守谈 熬清守淡 熬清受淡 栖冲业简 删华就素
国计民生 民生国计 忧国爱民 民困国贫 民生在勤
无施不效 人尽其才 事以密成 所向克捷 稳步前进
福无双至 不幸而言中 无妄之福 福无双至，祸不单行 福不重至，祸必重来
烟消火灭 洗肠涤胃 撮盐入水 右翦左屠 赶尽杀绝
龙头蛇尾 通首至尾 筐箧中物 乐极生哀 乐极悲来
南山铁案 罪不可逭 条条框框 生死未卜 当断不断
毛发悚然 毛发耸然 毛骨悚然 乍毛变色 毛森骨立
求贤若渴 求贤下士 求贤如渴 爱才如渴 爱才若渴
前襟后裾 道弟称兄 亲如手足 连枝同气 称兄道弟
平心易气 秉节持重 洁己从公 磊落光明 平心静气
水陆杂陈 甘旨肥浓 山珍海味 雕蚶镂蛤 足食丰衣
行远升高 循序渐进 竿头一步 学如登山 剥茧抽丝
磐石之固 金兰之交 金汤之固 安如磐石 确乎不拔
洁身自守 撒娇卖俏 拿腔作调 不露神色 自我解嘲
鹄峙鸾停 凤骨龙姿 沈腰潘鬓 鸿轩凤翥 兰心蕙性
托之空言 讲文张字 托物寓兴 以文会友 抽秘骋妍
事危累卵 危于累卵 外厉内荏 外强中瘠 力不能及
慷慨悲歌 悲歌慷慨 铁板歌喉 高歌猛进 勇往直前
寡不胜众 遵养晦时 表里受敌 击其不意 一不压众，百不随一
一反常态 变心易虑 安于现状 改口沓舌 事过情迁
寂然无声 万赖俱寂 万赖无声 万籁无声 悄然无声
不可胜记 不可胜纪 不遑枚举 研精究微 概莫能外
修辞立诚 言之有序 遣辞措意 潘文乐旨 璧坐玑驰
济世安民 历精为治 齐家治国 保国安民 治国安邦
救亡图存 济寒赈贫 拯溺扶危 济困扶危 赈贫贷乏
系风捕影 系风捕景 望空捉影 灭景追风 望风而降
过桥抽板 拳打脚踢 过桥拆桥 鸟得弓藏 功到自然成
寸心千古 亘古未有 来是是非人，去是是非者 追悔何及 不念旧恶
无事生非 招是搬非 披毛求疵 惹事生非 讨是寻非
积习难除 江山好改，秉性难移 江山易改，秉性难移 积习难改 山河易改，本性难移
稳步前进 照章办事 随事制宜 从容自如 干干翼翼
深仇重怨 深仇大恨 深雠大恨 深仇宿怨 嫉贪如雠
超凡出世 删华就素 超然不群 超然自逸 遗形藏志
