表里相依 铁板一块 铜打铁铸 铁桶江山 三环五扣
得意之作 言行相符 十全十美 运用自如 一清二楚
方寸已乱 一反常态 痛悔前非 轻重倒置 万念俱寂
调神畅情 旷心怡神 怡性养神 平心易气 神怡心旷
造谣惑众 哗众取宠 欺公罔法 讹言惑众 胡说乱道
光彩陆离 纷纷不一 千变万状 千汇万状 班驳陆离
了不可见 一无所获 百辞莫辩 威风扫地 若隐若现
坐享其功 忧国忘家 见死不救 舍生忘死 无妄之福
龙心凤肝 龙肝豹胎 龙肝凤髓 龙肝凤脑 凤髓龙肝
言从计纳 同心并力 同心合力 公听并观 协心戮力
驱霆策电 鼻端生火 追风蹑景 蹑影追风 车驰马骤
舍死忘生 舍生忘死 不管三七二十一 忘生舍死 置身事外
中立不倚 软语温言 公正不阿 无偏无陂 直言正论
引以为憾 时运不济 愧不敢当 当面错过 事与原违
急处从宽 相差无几 旁枝末节 无忧无虑 无所畏忌
荆棘满途 地棘天荆 荆天棘地 棘地荆天 荆棘塞途
鲁卫之政 铢两相称 八九不离十 从俗就简 比肩齐声
体物缘情 抽秘骋妍 寓情于景 诗家三昧 潘江陆海
枝繁叶茂 繁枝细节 千汇万状 丰富多彩 千条万缕
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 风起水涌
忍辱含羞 忍辱含垢 含垢忍辱 含垢忍耻 忍尤含垢
连三跨五 才高七步 七步之才 一日万里 十万火速
败德辱行 见利忘义 坏法乱纪 挑拨离间 玩忽职守
神醉心往 心向往之 心乡往之 满腔热枕 触物兴怀
双柑斗酒 春暖花香 红情绿意 春和景明 眷红偎翠
修辞立诚 信而有证 随事制宜 事实胜于雄辩 真情实意
奋发踔厉 激昂慷慨 井井有法 神飞气扬 英姿勃勃
杨生黄雀 杨雀衔环 犬马之报 黄雀衔环 恩同山岳
始终不懈 终始不渝 永矢弗谖 百世不易 终始若一
阳春有脚 重望高名 一官半职 一代宗臣 高官尊爵
随事制宜 修辞立诚 借景生情 按捺不住 触物兴怀
只言片语 自树一帜 孤文断句 托物陈喻 单枪独马
和颜说色 和容悦色 怡颜悦色 假以辞色 假人辞色
扬厉铺张 溢美之言 溢美之语 夸大其词 造言生事
耳听心受 倾耳而听 面命耳提 耳提面命 倾耳细听
做张做势 做张做智 做张做致 开弓不放箭 矫情饰行
百紫千红 砌红堆绿 花攒锦簇 五光十色 十光五色
分烟析产 各就各位 各安生业 云收雨散 各取所需
玉减香销 柳啼花怨 灰心槁形 萎糜不振 月缺花残
弄眉挤眼 狗眼看人 鄙夷不屑 挤眉弄眼 迟眉钝眼
见机而作 急起直追 相机而动 立时三刻 奋起直追
贪财好色 好色之徒 利欲熏心 有利可图 贪位慕禄
汗流浃肤 汗流夹背 汗出洽背 汗流洽衣 汗出浃背
形单影双 孤舟独桨 孤苦零丁 孤悬浮寄 无依无靠
历精更始 励精更始 括目相待 改朝换代 岁序更新
拍马溜须 奴颜婢睐 低声下气 伏低做小 服低做小
完美无疵 完美无缺 十全十美 大中至正 正直无邪
断决如流 驽箭离弦 应对如流 一清二楚 干脆利索
普天同庆 溥天同庆 欢聚一堂 一室生春 皆大欢喜
醉生梦死 如醉初醒 似醉如痴 酗酒滋事 如梦初觉
孤鸾照镜 泰山其颓 惊心悲魄 殊深轸念 麦秀黍离
水里纳瓜 一山不藏二虎 冰炭不投 冰炭不同炉 屯毛不辨
笑不可仰 忍俊不住 捧腹大笑 掩口失声 乐不可言
旷日累时 旷日持久 费力劳心 迁延岁月 猕猴骑土牛
旧话重提 旧病复发 人言啧啧 沉滓泛起 缪种流传
蹈锋饮血 敢为敢做 艰苦奋斗 不避艰险 敢作敢当
返邪归正 回邪入正 洒心更始 痛自创艾 重起炉灶
昏昏噩噩 如醉如梦 如堕烟雾 云天雾地 昏头搭脑
不屑教诲 不足介意 言而不信 不足与谋 不足为凭
原始反终 盘古开天地 列祖列宗 讨流溯源 承先启后
升官发财 加官进禄 发财致富 功名富贵 多文为富
矫情饰诈 做鬼做神 耍花腔 虚情假意 打马虎眼
夹枪带棒 浸润之谮 泥中隐刺 别具肺肠 含血喷人
陵劲淬砺 牛高马大 巧言利口 唇尖舌利 坚额健舌
年衰岁暮 七老八十 景入桑榆 风烛之年 七老八倒
东藏西躲 东躲西藏 趋吉避凶 避祸求福 违害就利
枉勘虚招 遁名改作 易俗移风 革图易虑 左建外易
深扃固钥 关门闭户 万赖俱寂 万赖无声 万籁无声
终始不渝 始终不懈 终始若一 信守不渝 各执己见
壮气凌云 海立云垂 来势汹汹 雄伟壮观 拏风跃云
彰明较着 荦荦大者 深切著白 深切着明 深切著明
翻江倒海 风驰雨骤 同音共律 鲁卫之政 云集景从
表里受敌 遵养晦时 事出有因 不乏先例 四面受敌
穷源溯流 溯流穷源 溯水行舟 溯流追源 力争上游
正直无邪 秉正无私 大中至正 公正不阿 公正无私
层见叠出 层见迭出 层出不穷 重三叠四 重三迭四
得过且过 俟河之清 虚无飘渺 空空如也 不敢苟同
相沿成习 习惯成自然 日以为常 习俗移性 习以成俗
乌头白马生角 乌头白，马生角 钻火得冰 煎水作冰 一手托天
喜怒哀乐 百感交集 人非土木 触景生情 睹物兴情
剗恶锄奸 刬恶锄奸 革奸铲暴 讨恶翦暴 祛蠹除奸
论议风生 论辩风生 谈论风生 饶有风趣 热情洋溢
抉瑕摘衅 嫌好道歹 鸡蛋里找骨头 涤瑕蹈隙 嗟来之食
笔耕砚田 开卷有益 萤窗雪案 匡衡凿壁 牛角书生
诸如此比 诸若此类 诸有此类 诸如此例 繁征博引
不落俗套 跅弛不羁 恶不去善 大言不惭 不避艰险
原始反终 推本溯源 讨流溯源 穷源朔流 原始见终
进贤退愚 使贤任能 任贤使能 进善退恶 简贤任能
身非木石 罪不容诛 妙绝时人 清水无大鱼 名不虚得
遣兵调将 遣将征兵 遣将调兵 发宪布令 诘戎治兵
兹事体大 事出有因 大权在握 有根有苗 有凭有据
手到拈来 火上弄冰 热熬翻饼 掌上观纹 掌上观文
无稽之言 答非所问 闲言冷语 话中带刺 民心不壹
魂摇魄乱 惊慌失色 惊惶失色 神丧胆落 张眉张眼
卤莽灭裂 瞎子摸鱼 草率将事 畏影恶迹 顾头不顾尾
持危扶颠 履险蹈危 临危受命 危急存亡之秋 出夷入险
冷酷无情 漠不关心 冷心冷面 残暴不仁 不近道理
移星换斗 井井有方 唯妙唯肖 神乎其技 曲尽奇妙
语重心长 犀角烛怪 壮气凌云 金鴗擘海 雄文大手
遁天妄行 倒行逆施 好高鹜远 淫言诐行 黄风雾罩
山砠水厓 偏乡僻壤 穷乡僻壤 穷山僻壤 深山野墺
大错特错 千差万错 谬以千里 大败亏轮 迷天大罪
隐居求志 遁世长往 息交绝游 兔死犬饥 放马华阳
劳而无功 轻虑浅谋 徒劳无功 横恩滥赏 时运不济
阒然无声 无伤无臭 无声无息 阒无人声 无声无色
见义勇为 义不反顾 正直无邪 秉正无私 大中至正
不爽毫发 不偏不党 无忧无虑 巨细无遗 世上无难事
有嘴没舌 顿口拙腮 拙口钝腮 钝口拙腮 畏影恶迹
凤仪兽舞 习俗移性 通幽洞灵 梯愚入圣 通幽洞冥
转日回天 回山倒海 战无不胜 回天之力 叱嗟风云
祸近池鱼 祸及池鱼 伤筋动骨 损军折将 东差西误
别创一格 别开一格 马到功成 初试锋芒 初露锋芒
无可名状 不分伯仲 百辞莫辩 不解之仇 禀性难移
逢场作趣 逢场作乐 逢场游戏 追欢买笑 秦楼楚馆
浆水不交 臣心如水 一清如水 脂膏不润 饮马投钱
如狼似虎 狼顾虎视 狗肺狼心 狼心狗肺 狗行狼心
玩忽职守 败德辱行 违条犯法 蔑伦悖理 不正之风
天差地远 迥乎不同 天壤悬隔 天冠地屦 大有径庭
潜形匿迹 秘而不露 惟利是图 惟利是视 惟利是趋
泣下如雨 泪如雨下 泪下如雨 泣数行下 雨泣云愁
殊形妙状 诡形奇制 怪形怪状 奇形异状 殊形诡状
造言生事 造言捏词 砌词捏控 造谣生事 造谣惑众
衔玉贾石 衒玉贾石 炫玉贾石 炫石为玉 舍己为人
积日累久 多历年稔 穷年累世 积日累岁 积时累日
东南之宝 东南之秀 东南之美 南州冠冕 材雄德茂
同心并力 同心合力 一心同功 一心一德 协心戮力
联篇累牍 盈篇累牍 烦言碎辞 连篇累册 连篇累幅
世扰俗乱 麋沸蚁动 杂乱无序 坏法乱纪 败法乱纪
天授地设 听风听水 油然而生 起根发由 草蛇灰线
不因不由 束装盗金 摸门不着 骈兴错出 不禁不由
盘石之固 银山铁壁 铁壁铜墙 不拔之志 磬石之固
折胶堕指 天寒地冻 寒风侵肌 岁暮天寒 雪窑冰天
所见略同 一模一样 行合趋同 众口同声 百口同声
询事考言 称德度功 日省月试 示贬于褒 质疑辨惑
千恩万谢 感恩怀德 令人起敬 恩有重报 谆谆告戒
累教不改 话里藏阄 悬而未决 藏头亢脑 屡教不改
不计其数 迷离扑朔 数不胜数 深不可测 令人莫测
束装就道 负重涉远 负重致远 马不停蹄 接三连四
荡魂摄魄 感人肺腑 惊心眩目 惊耳骇目 骇人视听
为恶不悛 矢口否认 矢口抵赖 恪守不渝 怙过不悛
毫不利己，专门利人 不顾大局 无关大局 不管三七二十一 横无忌惮
囊匣如洗 身无分文 步雪履穿 生民涂炭 冷窗冻壁
杅穿皮蠹 移樽就教 藏器待时 工欲善其事，必先利其器 杯中之物
和蔼可亲 和蔼近人 言和意顺 心慈面软 闻融敦厚
弱本强末 医时救弊 兴利除害 顿纲振纪 损上益下
莫逆于心 义气相投 情投谊合 情投意忺 言和意顺
油腔滑调 清汤寡水 油嘴花唇 抟沙嚼蜡 食生不化
春意阑珊 乐往哀来 云飞烟灭 名存实亡 力殚财竭
超世之才 逸群之才 曾无与二 岳岳磊磊 重望高名
博学多才 语长心重 词严义密 斐然成章 才学兼优
潜移默运 不事边幅 潜移默夺 羌无故实 心不由意
盘古开天地 好心好意 救灾恤患 恩恩相报 拜恩私室
文子同升 仰事俛畜 南阮北阮 官官相护 金闺玉堂
钜学鸿生 通才硕学 博学多才 畸流洽客 有识之士
女长须嫁 男大当娶 成家立计 朱陈之好 男大须婚
光彩耀目 胸怀磊落 洞察一切 灯火辉煌 一清二楚
回肠寸断 千状万端 呕心抽肠 神愁鬼哭 叩心泣血
失张失致 失张失志 七上八落 亡魂丧魄 七上八下
忧国忧民 心事重重 忧国爱民 忧心悄悄 人不自安
无施不可 所向克捷 纵横天下 无所不晓 无所不知
断墨残楮 残编裂简 遗编断简 遗编绝简 书缺有间
五子登科 三星在户 百年好事 荣谐伉俪 朱陈之好
莫可究诘 不可究诘 追根究底 未了公案 盘根问底
外厉内荏 色厉内荏 外强中瘠 貌似强大 色厉胆薄
顿足搥胸 顿足捶胸 拊膺顿足 跌脚捶胸 跌脚搥胸
枝繁叶茂 热情洋溢 沟满壕平 离离矗矗 鲜艳夺目
无计奈何 置之死地 水底纳瓜 格格不纳 失张失智
名同实异 本同末离 同门异户 异名同实 表里不一
理所不容 此风不可长 不容置喙 横恩滥赏 不足为凭
虫臂鼠肝 鼠肝虫臂 毫发丝粟 泥车瓦马 鸡零狗碎
成算在心 如箭在弦 端倪可察 南山铁案 洞察其奸
改行为善 改行迁善 改行从善 正己守道 推诚布公
天理昭彰 天理昭昭 凿凿有据 凿凿可据 正直无邪
不露形色 不随以止 避瓜防李 避毁就誉 避李嫌瓜
鹄峙鸾停 仪静体闲 兰心蕙性 眉目如画 雍容华贵
玩故习常 熬清守谈 东游西荡 栖冲业简 漫不经意
扶危救困 爱人利物 救困扶危 路叟之忧 访贫问苦
所向克捷 人尽其才 无施不效 无施不可 色色俱全
贵贱无常 乐不可极 人不可貌相 一个巴掌拍不响 事出有因
涤瑕荡秽 濯污扬清 涤故更新 涤地无类 大浪淘沙
白眉赤眼 筐箧中物 龙头蛇尾 鲁卫之政 不伤脾胃
南山铁案 条条框框 罪不可逭 情不可却 禀性难移
毛发耸然 毛发悚然 乍毛变色 毛森骨立 寒毛卓竖
求贤若渴 求贤如渴 思贤如渴 求知若渴 爱才如渴
前襟后裾 连枝同气 道弟称兄 长枕大被 情重姜肱
平心易气 平心静气 平心而论 安常履顺 宽大为怀
水陆杂陈 甘旨肥浓 足食丰衣 三牲五鼎 八珍玉食
行远升高 循序渐进 竿头一步 水长船高 学如登山
坦然自若 敦默寡言 言笑自如 言笑自若 原封未动
出丑扬疾 妆模作样 逞强称能 引以为耻 惹祸招灾
鹄峙鸾停 眉目如画 兰心蕙性 鸿轩凤翥 雍荣华贵
寓情于景 托之空言 言为心声 抽秘骋妍 言文行远
外强中瘠 破烂不堪 貌似强大 抽筋拔骨 强死强活
悲歌慷慨 慷慨悲歌 勇往直前 高歌猛进 高遏行云
敌不可纵 禀性难移 不解之仇 有国难投 邪不干正
时移世异 放马华阳 事过情迁 行不贰过 置之脑后
万籁无声 万赖俱寂 万赖无声 耳根清净 万籁俱寂
不可胜记 不可胜纪 不知端倪 姑妄听之 一概而论
璧坐玑驰 月章星句 修辞立诚 咳珠唾玉 绣虎雕龙
济世安民 富国安民 保国安民 安国富民 治国安邦
济世救人 救急扶伤 救困扶危 济困扶危 济世安人
系风捕影 系风捕景 望空捉影 捕影系风 捕风捉影
过桥抽板 打人骂狗 焚巢捣穴 焚巢荡穴 过桥拆桥
白首为郎 叹老嗟卑 寄迹山林 百世流芬 心慈手软
披毛求疵 挑毛拣刺 无事生非 讨是寻非 挑拨离间
创业维艰 难乎为继 难以为继 一不扭众 未能免俗
稳步前进 言行相符 照章办事 正中下怀 惬心贵当
贵贱无二 齐名并价 与受同科 所见略同 一心同归
超凡出世 超然自逸 徙善远罪 超然不群 超然远举
雷嗔电怒 瞠目而视 大吆小喝 冲冠发怒 冲冠怒发
悄然无声 默默无言 屏声敛息 寂然不动 文风不动
张慌失措 失魂丧胆 惊惶无措 张眉张眼 踟蹰不前
