情投意忺 情投谊合 协心戮力 协心同力 道合志同
敬终慎始 甄心动惧 慎小事微 谨言慎行 心小志大
无可名状 不堪言状 悱恻缠绵 不可胜道 鹤归华表
海立云垂 铁板铜弦 壮发冲冠 倒峡泻河 徜徉恣肆
计功行赏 照功行赏 论功行赏 论功封赏 班功行赏
病国殃民 误国殃民 辱国殄民 辱国殃民 蠹政病民
九关虎豹 豺狼之吻 摄威擅势 豺狼当路 豺狼当涂
三求四告 强而后可 正色厉声 赌咒发誓 嘴清舌白
随时制宜 成败在此一举 因地制宜 举措不当 举措失当
疑团莫释 不知头脑 以疑决疑 以心问心 不知端倪
恶积祸盈 作恶多端 罪逆深重 滔天之罪 罪当万死
神清骨秀 霞姿月韵 楚楚谡谡 松形鹤骨 仙姿玉质
另谋高就 革旧图新 不务正业 别作良图 各就各位
重金兼紫 金章紫绶 拖青纡紫 纡金曳紫 金印紫绶
自成一格 别具一格 别出新意 别出新裁 领异标新
雪窑冰天 冰天雪窑 冰天雪地 挦绵扯絮 冰雪严寒
舍旧谋新 除旧更新 弃故揽新 除旧布新 革旧图新
展脚伸腰 送往事居 生荣死哀 生荣死衰 一命呜呼
无名小辈 冷嘲热骂 恶语伤人 村夫俗子 破口大骂
世上无难事 无所不可 不避艰险 无往不克 无往不胜
飞灾横祸 飞来横祸 无妄之祸 无妄之灾 一长两短
捶胸顿脚 捶胸跌足 捶胸跌脚 痛心绝气 气涌如山
犬马之年 一日之长 都头异姓 敬老尊贤 齿过肩随
叹老嗟卑 岁不我与 老大无成 白首为郎 有志无时
出言有章 明辨是非 词严义密 言不逮意 笃而论之
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 飞砂扬砾
诡言浮说 没查没利 高谈大论 矫言伪行 谩辞哗说
各取所需 见机行事 正中下怀 从心所欲 正中己怀
钻冰求火 钻冰取火 镂冰炊砾 海中捞月 挑雪填井
近交远攻 百般刁难 打击报复 以众暴寡 趁人之危
十死一生 百死一生 命若悬丝 朝不及夕 入死出生
深山长谷 深山穷谷 深山幽谷 深山老林 深山密林
挺而走险 临危致命 奋勇当先 不避艰险 行险徼幸
引经据典 引经据古 牵经引礼 不废江河 犀角烛怪
天差地远 未可同日而语 天冠地屦 相去悬殊 天壤悬隔
杜渐除微 以绝后患 防患未萌 思患预防 杜隙防微
混然天成 质非文是 无缘无故 弃文存质 旁枝末节
使乖弄巧 卖俏迎奸 拿糖作醋 捉班做势 撩云拨雨
慎小事微 慎小谨微 不足为意 不自满假 不足介意
说来说去 口口声声 娓娓而谈 终而复始 持之以恒
鲁卫之政 言之有故 众口一词 百口同声 众口同声
秘而不露 秘而不言 秘而不宣 讳莫高深 避人耳目
身无寸缕 上无片瓦，下无插针之地 清贫如洗 身无长物 赤贫如洗
矢志不移 确固不拔 赌咒发誓 确乎不拔 誓死不渝
破烂不堪 破烂流丢 豕分蛇断 歪八竖八 残篇断简
时移势迁 时异势殊 时移势易 时移世易 时易世变
惟肖惟妙 蕤宾铁响 神至之笔 惟妙惟肖 鸾歌凤舞
蚁斗蜗争 尺兵寸铁 寸兵尺铁 一草一木 一丝半粟
履险蹈危 大难临头 遭劫在数 月值年灾 遭倾遇祸
发扬光大 阐扬光大 永垂不朽 传为佳话 守先待后
荣古虐今 荣古陋今 轻重倒置 竞今疏古 尊古卑今
款曲周至 体贴入微 问寒问暖 体恤入微 推襟送抱
神枢鬼藏 惊世骇目 雄才大略 运用之妙，在于一心 法灸神针
匠心独具 匠心独运 镂冰劚雪 别具匠心 独运匠心
违强陵弱 扶弱抑强 锄强扶弱 安良除暴 打抱不平
重气轻命 重气轻生 重义轻生 轻身重义 舍生忘死
劳而无功 凿隧入井 徒劳无益 徒劳无功 悬驼就石
以德服人 凤附龙攀 论功受赏 神功圣化 开国功臣
十室九匮 穷困潦倒 在陈之厄 上溢下漏 家道消乏
黄龙痛饮 锦囊还矢 乘利席胜 反败为胜 搴旗斩将
趋时附势 趋时奉势 附炎趋热 亦趋亦步 根株附丽
欢聚一堂 溥天同庆 十日之饮 杯酒言欢 欢若平生
挨三顶五 车载船装 成千上万 骈门连室 雾集云合
不法古不修今 不吝指教 以人为镜 不足为法 心摹手追
倒峡泻河 龙飞虎跳 徜徉恣肆 海立云垂 龙跳虎卧
琵琶旧语 倒戈卸甲 马入华山 磨盘两圆 以退为进
变躬迁席 心去难留 抛乡离井 另请高明 悬车致仕
洒扫应对 诗礼人家 忠孝节义 三从四德 伤化败俗
物归原主 去故就新 返本朝元 返本还元 拾带重还
在色之戒 不容置喙 男女有别 以杀去杀 以杀止杀
天灾地妖 天灾地变 飞灾横祸 飞来横祸 风雷之变
千里结言 义结金兰 游山玩景 一路顺风 整装待发
牛衣岁月 蓬门筚户 狼艰狈蹶 啮雪餐毡 有气无烟
如蹈水火 艰难困苦 狼艰狈蹶 若涉渊水 啮雪餐毡
点头咂嘴 一字褒贬 褒善贬恶 称赏不已 欢欣鼓舞
黏吝缴绕 缠夹不清 丝来线去 死求白赖 通同一气
平心静气 平心易气 不自满假 抖擞精神 抖搂精神
金屋娇娘 花颜月貌 仙姿玉色 杏脸桃腮 鱼沉雁落
来回来去 终而复始 返来复去 重三迭四 重三叠四
豪门巨室 金门绣户 千金之家 琼厨金穴 乌衣门第
急于求成 汲汲皇皇 连二赶三 孜孜汲汲 孳孳汲汲
弄假成真 不幸而言中 原来如此 原形败露 有鼻子有眼
赏不逾时 赏不逾日 赏立诛必 当机立决 知遇之恩
随时随地 随地随时 用天因地 顺时而动 相机行事
国富民安 国富民强 物阜民康 民富国强 民安国泰
担雪填井 担雪塞井 担雪填河 敲冰求火 井中求火
一室生春 怡然自若 轰堂大笑 烘堂大笑 哄堂大笑
雄文大手 金丹换骨 雅人韵士 画中有诗 画意诗情
协心同力 同心叶力 同心一力 协力齐心 同心并力
倒山倾海 天摇地动 叱嗟风云 拔山举鼎 回山倒海
避李嫌瓜 避瓜防李 不哼不哈 不容置喙 王顾左右而言他
固执己见 累教不改 俨乎其然 掷鼠忌器 抱令守律
人强胜天 人众胜天 骁勇善战 精力充沛 力可拔山
不偢不倸 不瞅不睬 不揪不采 不揪不採 不揪不睬
相辅而行 辑志协力 相与为一 合衷共济 鲁卫之政
祸在旦夕 一朝之患 大难临头 骤雨暴风 骤雨狂风
枉费唇舌 徒费唇舌 原封未动 蛇化为龙，不变其文 说一是一，说二是二
无虑无思 心怀忐忑 遗寝载怀 心上心下 心如止水
自食其力 民生在勤 自给自足 忍苦耐劳 养家活口
东踅西倒 爬山涉水 磨穿铁鞋 登山越岭 双足重茧
多才多艺 心中有数 博学多才 学以致用 学富才高
边尘不惊 沉烽静柝 马入华山 偃武息戈 散马休牛
狼吞虎咽 狼餐虎咽 狼吞虎餐 汲汲皇皇 狼飡虎咽
奋发踔厉 豪情壮志 志洁行芳 逊志时敏 激昂慷慨
雕章琢句 心知其意 熟读深思 刻章琢句 融汇贯通
知遇之恩 以誉为赏 点头咂嘴 赏贤使能 以誉进能
餐风茹雪 餐风啮雪 餐风饮露 餐风宿雨 餐风咽露
学富才高 博学多才 通文达艺 通才练识 才学兼优
赤身裸体 暴露无遗 赤身露体 合盘托出 四肢百骸
蕤宾铁响 郢中白雪 引商刻角 朱弦三叹 弹丝品竹
危急存亡之秋 百死一生 十死一生 进退维亟 一死一生
表里相依 河同水密 痛痒相关 打得火热 蜜里调油
弃甲曳兵 曳兵弃甲 豕窜狼逋 仓皇出逃 抛戈弃甲
蝇头蜗角 蝇名蜗利 蜗角蝇头 蜗角虚名 蜗名微利
攘来熙往 熙来攘往 马如游龙 攘往熙来 摩肩擦踵
祝发空门 剪发被褐 剪发披缁 在家出家 剪发杜门
自不待言 无庸置辩 知无不言 无可争辩 得意忘言
见义必为 见义勇为 见义敢为 见义当为 见机而作
玉清冰洁 冰洁渊清 清莹秀澈 玉润冰清 玉洁松贞
照章办事 安分守已 安份守己 奉公如法 循途守辙
攻疾防患 违强陵弱 束身自修 剗恶锄奸 刬恶锄奸
主守自盗 监主自盗 揭箧担囊 监临自盗 漫藏诲盗
客死他乡 溘然长逝 东播西流 一命归西 一命归阴
唯所欲为 放意肆志 横无忌惮 放达不羁 逍遥自得
匠心独运 别具匠心 独运匠心 独具匠心 匠心独具
铮铮佼佼 珪璋特达 嵚崎历落 脱颖囊锥 东南竹箭
壮发冲冠 噙齿戴发 汪洋自恣 彘肩斗酒 拏风跃云
读书君子 一介书生 宿学旧儒 读书种子 文人墨客
得意忘言 自不待言 意在言外 不可言喻 溢于言表
斐然成章 一字连城 词华典赡 奇文共赏 文章宗工
人非物是 人民城郭 时易世变 时移世易 翻复无常
文修武偃 揆文奋武 治国安邦 富国强兵 祖述尧舜，宪章文武
风激电飞 虎狼之势 如狼如虎 风行电击 秋风扫叶
惟利是图 惟利是视 惟利是求 惟利是趋 全心全意
坚执不从 守正不回 不自满假 自行其是 随俗浮沉
优游自在 适性任情 短中取长 枕稳衾温 不丰不俭
仇人相见，分外眼红 仇人见面，分外眼红 啼啼哭哭 冲冠眦裂 愤愤不平
心殒胆落 心寒胆战 魂慴色沮 魂慑色沮 魂飘魄散
脏污狼藉 贪而无信 贪脏枉法 贪污狼藉 赃私狼藉
嚎天喊地 鬼哭狼嚎 哀天叫地 啼天哭地 嚎天动地
大工告成 大功毕成 大功告成 丰功伟绩 丰功茂德
自视甚高 自高自大 高自位置 高傲自大 超群拔类
偃革尚文 偃武崇文 偃武行文 偃武兴文 偃武觌文
临难苟免 时绌举赢 趁人之危 挺而走险 自讨没趣
刃迎缕解 应刃而解 迎刃以解 迎刃立解 迎刃而理
言不达意 言不逮意 狗屁不通 半吐半露 半吞半吐
画荻和丸 画荻丸熊 画荻教子 舐犊情深 子孝父慈
心巧嘴乖 多谋善断 运智铺谋 运计铺谋 万全之计
附势趋炎 根株附丽 天王老子 攀炎附热 淮王鸡狗
雄姿英发 凤骨龙姿 龙章凤彩 龙姿凤采 意气高昂
深刺腧髓 钻心刺骨 沦肌浃髓 沦浃肌髓 捶骨沥髓
戴圆履方 寸地尺天 顶天立地 脚踏实地 脚不点地
不饥不寒 平安无事 家给人足 心满意得 足衣足食
敬老慈幼 慈乌反哺 假慈悲 乌鸟私情 慈乌返哺
不知起倒 不知利害 有一利必有一弊 利害得失 无补于事
百死一生 危急存亡之秋 十死一生 进退维亟 一死一生
低眉垂眼 羞人答答 胁肩低眉 敛色屏气 闭口藏舌
里通外国 朋比作奸 狡焉思启 狡焉思肆 狡焉思逞
经济之才 安国宁家 治国安邦 济世安民 经文纬武
眉目如画 鹄峙鸾停 妍姿艳质 河山之德 花颜月貌
流风余俗 变俗易教 遗风古道 良弓无改 推陈出新
饭粝茹蔬 划粥割齑 粗茶淡饭 粗衣淡饭 恶衣粝食
石赤不夺 金石之坚 金兰之交 石心木肠 磐石之固
印累绶若 兼官重绂 钟鸣鼎重 高位重禄 悬龟系鱼
狗屁不通 东怨西怒 涤瑕蹈隙 自厝同异 播弄是非
多见广识 博学多才 才识过人 通才练识 洽闻强记
世扰俗乱 不正之风 世道人心 世风日下 麋沸蚁动
画野分疆 画土分疆 分茅锡土 分茅列土 分茅赐土
玉碎香销 玉碎香消 香消玉殒 珠沉玉碎 断香零玉
谨身节用 躬行节俭 厉行节约 省吃俭用 东撙西节
信守不渝 矢忠不二 坚守不渝 誓死不渝 坚贞不渝
生动活泼 丰富多彩 丰富多采 千汇万状 议论风生
佛口蛇心 蛇心佛口 心狠手辣 毒魔狠怪 狠心辣手
千汇万状 殊形妙状 丰富多彩 诡形奇制 奇形怪状
刻肌刻骨 满腔热枕 真情实感 热情洋溢 满腔热忱
超群越辈 轶群绝类 褎然居首 褎然冠首 超群拔类
坚持不渝 坚守不渝 至死不渝 始终不渝 终始若一
眼花心乱 满腹疑团 疑团满腹 大惑不解 闷葫芦
安邦治国 治国安邦 安国富民 反正拨乱 济世安民
心如刀绞 心如刀割 急痛攻心 苦难深重 悱恻缠绵
修辞立诚 言文行远 真情实感 情见乎词 情见乎言
铁板一块 风语不透 三环五扣 表里相依 铜打铁铸
得意之作 名我固当 十全十美 可心如意 心满意得
幡然悔悟 遗魂亡魄 变心易虑 打破迷关 痛悔前非
调神畅情 怡性养神 神怡心旷 旷心怡神 颐养精神
造谣惑众 道听耳食 讹以传讹 造谣生事 造谣生非
光彩陆离 千汇万状 镂金铺翠 鲜艳夺目 丰富多彩
了不可见 一无所获 威风扫地 渺无影踪 了然无闻
坐享其功 求人不如求己 不勤而获 事不关己 自愧不如
龙肝豹胎 龙肝凤脑 龙肝凤髓 龙心凤肝 凤髓龙肝
虚己受人 公听并观 博采众议 厌闻饫听 出谋献策
车驰马骤 风驰云走 载驱载驰 载驰载驱 鼻端生火
舍死忘生 舍生忘死 草芥人命 置身事外 忘生舍死
中立不倚 遇物持平 秉公任直 公正不阿 正直无邪
引以为憾 愧不敢当 殊深轸念 飞灾横祸 飞来横祸
酒有别肠 日饮亡何 遗簪堕珥 遗簪脱舄 大言不惭
地棘天荆 荆棘满途 棘地荆天 荆棘塞途 荆棘载途
芟繁就简 一搭两用 比物假事 合二为一 合两为一
体物缘情 诗家三昧 烘托渲染 一吟一咏 情景交融
繁枝细节 枝繁叶茂 枝叶扶苏 一枝一节 毛发丝粟
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 山崩海啸
忍辱含垢 忍辱含羞 含垢忍耻 含污忍垢 含垢忍辱
高才疾足 才高七步 七步之才 高才捷足 楚楚不凡
损己利人 掠人之美 欺世盗名 据为己有 见利忘义
神醉心往 心向往之 神怡心旷 满腔热枕 心乡往之
春和景明 春色撩人 双柑斗酒 春满人间 红情绿意
修辞立诚 笃而论之 字顺文从 去伪存真 美言不信
奋发踔厉 豪情壮志 激昂慷慨 志洁行芳 神飞气扬
杨生黄雀 杨雀衔环 黄雀衔环 魏颗结草 一饭千金
终而复始 始终不懈 接连不断 无了无休 无尽无休
一人之下，万人之上 阳春有脚 崧生岳降 三台八座 悬龟系鱼
躬行实践 感慨激昂 真情实感 扇风点火 大发议论
只言片语 孤文断句 一言半语 长篇大套 言之有物
和容悦色 和颜说色 假人辞色 假以辞色 蔼然可亲
造言生事 哗世取名 造言捏词 故甚其词 张大其词
耳听心受 口耳相传 倾耳细听 言为心声 口讲指画
做张做势 妆模作样 拿腔做势 拿糖作醋 捉班做势
花攒锦簇 百紫千红 砌红堆绿 十光五色 斗色争妍
分烟析产 分家析产 分烟析生 各司其事 家散人亡
玉碎香残 玉减香销 香消玉殒 玉惨花愁 珠沉玉碎
弄眉挤眼 泥中隐刺 血口喷人 横眉竖眼 戟指怒目
见机而作 当机立断 相机而动 立时三刻 顺时而动
贪财好色 利欲熏心 贪位慕禄 贪利忘义 射利沽名
流汗浃背 春露秋霜 柳树上着刀，桑树上出血 克嗣良裘 浃背汗流
形单影双 孤俦寡匹 形只影单 孤形吊影 形影自守
励精更始 历精更始 鼓脑争头 奋起直追 以权达变
奴颜婢睐 服低做小 做小伏低 伏低做小 低声下气
皂白不分 明明白白 公明正大 正直无邪 大中至正
断决如流 决断如流 应答如流 剖决如流 应对如流
普天同庆 溥天同庆 率土同庆 欢聚一堂 举国一致
如醉初醒 酩酊烂醉 醉山颓倒 酩酊大醉 醉生梦死
孤鸾照镜 霜露之悲 狐死兔泣 殊深轸念 剖肝泣血
冰炭不同炉 冰炭不投 一山不藏二虎 势如水火 水里纳瓜
忍俊不住 哑然失笑 掩口失声 笑不可仰 掩口葫芦
旷日累时 旷日离久 旷日持久 迁延岁月 日长似岁
鄙吝复萌 世俗之见 负俗之累 惊愚骇俗 人言啧啧
勇者不惧 无所畏惮 愤不顾身 不避艰险 一身都是胆
洒心更始 刮肠洗胃 吞刀刮肠 洗心回面 改过作新
如醉如梦 昏昏噩噩 浑然无知 如堕烟雾 错认颜标
不足与谋 答非所问 不容置喙 免开尊口 多管闲事
原始反终 原始要终 穷源朔流 讨流溯源 溯端竟委
升官发财 加官进禄 功名富贵 进禄加官 加官晋爵
虚情假意 瞒心昧己 撒诈捣虚 打马虎眼 诈败佯输
夹枪带棒 泥中隐刺 浸润之谮 暗锤打人 血口喷人
劚玉如泥 削铁无声 陵劲淬砺 舌锋如火 长颈鸟喙
年衰岁暮 风烛之年 黄发儿齿 景入桑榆 七老八倒
东躲西藏 东藏西躲 高飞远集 避祸求福 趋吉避凶
俯首就缚 枉勘虚招 改名换姓 变名易姓 变古易俗
万赖俱寂 万籁无声 万赖无声 深扃固钥 屏声敛息
根连株逮 深根固蒂 连绵不绝 蛇化为龙，不变其文 连理之木
海立云垂 豪言壮语 壮气凌云 铁板铜弦 壮发冲冠
荦荦大者 深切着明 深切著明 彰明较着 彰明昭着
滂沱大雨 大雨滂沱 翻江倒海 瓢泼大雨 大雨倾盆
背腹受敌 表里受敌 遵养晦时 前徒倒戈 四面受敌
穷源溯流 溯流穷源 本末源流 依山傍水 力争上游
秉正无私 正直无邪 公正无私 大中至正 负气仗义
层见叠出 层出迭见 层见错出 层出叠见 层见迭出
临川羡鱼 临河羡鱼 得过且过 捉影捕风 捉风捕月
日以为常 习以成俗 积习成俗 相沿成习 习惯成自然
煎水作冰 乌头白马生角 乌头白，马生角 钻火得冰 一手托天
喜怒哀乐 人非土木 七情六欲 感慨万端 即景生情
剗恶锄奸 刬恶锄奸 讨恶翦暴 祛蠹除奸 扫除天下
论议风生 论辩风生 饶有风趣 妙语解烦 谈论风生
嫌好道歹 抉瑕摘衅 鸡蛋里找骨头 披毛索靥 血口喷人
笔耕砚田 熟读深思 三余读书 自食其力 民生在勤
杞梓之林 彬彬济济 十步香车 十步香草 人文荟萃
恬不知耻 不管一二 弃恶从善 靦颜事仇 横无忌惮
原始反终 原始要终 穷源朔流 讨流溯源 枝源派本
进贤退愚 进贤黜佞 进善退恶 任贤使能 使贤任能
手足异处 尸山血海 杀一砺百 鸷击狼噬 丑类恶物
遣兵调将 遣将征兵 遣将调兵 调兵遣将 指挥可定
东鸣西应 互为因果 相因相生 相生相成 相克相济
火上弄冰 手到拈来 掌上观纹 掌上观文 热熬翻饼
闲言冷语 一无可取 言不逮意 问官答花 语无诠次
惊慌失色 惊惶失色 神丧胆落 屎滚尿流 屎屁直流
卤莽灭裂 触石决木 顾头不顾尾 沾泥带水 蚍蜉戴盆
救困扶危 救难解危 持危扶颠 救急扶伤 扶危救困
冷酷无情 漠不关心 冷心冷面 无情无义 无情无绪
移星换斗 语妙天下 能言巧辩 巧言如簧 井井有方
金鴗擘海 言有尽而意无穷 雄深雅健 犀角烛怪 鸿笔丽藻
遁天妄行 脱天漏网 放纵不羁 胡作乱为 胡行乱为
山砠水厓 深山野墺 山陬海澨 斗绝一隅 偏乡僻壤
千差万错 大错特错 大败亏轮 谬以千里 极恶不赦
功遂身退 肥遁鸣高 身退功成 杀马毁车 散带衡门
劳而无功 徒劳无功 凿隧入井 徒劳无益 费力劳心
阒无人声 阒然无声 万赖无声 万赖俱寂 万籁无声
见义勇为 见义必为 见义敢为 见义当为 捐身徇义
曾不惨然 无挂无碍 无所畏忌 恬不为意 无所忌讳
有嘴没舌 顿口拙腮 烟不出火不进 拙口钝腮 拙口笨腮
凤仪兽舞 梯愚入圣 黜昏启圣 革凡成圣 震聋发聩
转日回天 战无不胜 回山倒海 叱嗟风云 天摇地动
祸近池鱼 祸及池鱼 七损八伤 鱼烂瓦解 援鳖失龟
马到成功 马到功成 崭露头脚 旗开得胜 鱼跃龙门
钩金舆羽 无与为比 未可同日而语 无有伦比 无可比伦
逢场作乐 逢场作趣 逢场游戏 逢场竿木 做张做智
浆水不交 一清如水 臣心如水 却金暮夜 五月披裘
狼心狗肺 狗行狼心 如狼似虎 雕心鹰爪 狼猛蜂毒
蔑伦悖理 邪魔歪道 横行逆施 淫言诐行 败德辱行
天壤悬隔 大有径庭 迥然不同 十万八千里 天差地远
潜形匿迹 不露神色 秘而不言 秘而不露 讳莫高深
泣下如雨 泪如雨下 泪下如雨 泣数行下 怆然涕下
殊形妙状 奇形怪状 诡形奇制 怪形怪状 奇形异状
造言生事 造谣生事 造言捏词 造谣惑众 招是搬非
衔玉贾石 衒玉贾石 炫石为玉 炫玉贾石 贱买贵卖
积日累久 万古千秋 多历年稔 积日累岁 积时累日
东南之宝 东南之秀 东南之美 南州冠冕 一时之选
一心一德 同心合力 同心并力 同心叶力 同心一力
联篇累牍 盈篇累牍 连篇累册 连篇絫幅 连章累牍
世扰俗乱 麋沸蚁动 不正之风 人不自安 七慌八乱
托物陈喻 弦外之响 清浑皁白 天授地设 鹤长凫短
心血来潮 心不由主 油然而生 感情用事 心痒难挠
盘石之固 铁壁铜墙 银山铁壁 磬石之固 不可动摇
冰天雪窑 雪窑冰天 冰天雪地 天寒地冻 寒风侵肌
一心同归 一模一样 同德协力 一般无二 百口同声
审己度人 说好说歹 三曹对案 质疑辨惑 综核名实
谆谆告戒 热心苦口 千恩万谢 谆谆诰诫 拳拳之枕
左支右调 闪烁其词 直口无言 藏头亢脑 问官答花
不计其数 数不胜数 成千累万 万万千千 成千成万
昼夜兼程 束装就道 负重涉远 倍日并行 卬头阔步
惊耳骇目 骇人视听 骇目惊心 惊心骇瞩 惊心眩目
顽固不化 矢口否认 矢口抵赖 怙过不悛 屡教不改
惟利是求 惟利是趋 惟利是视 惟利是图 毫不利己，专门利人
囊匣如洗 生民涂炭 步雪履穿 倦尾赤色 狼艰狈蹶
杅穿皮蠹 弓调马服 月晕础润 刺虎持鹬 兵马未动，粮草先行
和蔼可亲 和蔼近人 闻融敦厚 心慈面软 言笑晏晏
弱本强末 龙腾虎踞 强本弱支 威重令行 强干弱枝
莫逆于心 情投意忺 情投谊合 心照情交 言和意顺
清汤寡水 油渍麻花 淡饭黄齑 味同嚼蜡 黄齑白饭
覆亡无日 死亡无日 春意阑珊 夜静更阑 云飞烟灭
曾无与二 天下独步 独步天下 当世无双 自成一格
斐然成章 文章宗工 词华典赡 一字连城 文章宗匠
潜移默运 潜移默转 潜移默夺 信步而行 听其自然
恩恩相报 片云遮顶 方来未艾 小恩小惠 云行雨洽
文子同升 衣食税租 金闺玉堂 簪缨世胄 南阮北阮
钜学鸿生 通才硕学 宏儒硕学 通儒达士 博学多才
男大须婚 女长须嫁 男大当娶 女大当嫁 女大须嫁
灯火辉煌 良宵好景 万家灯火 灯火万家 良宵美景
回肠寸断 呕心抽肠 千状万端 剖肝泣血 凄入肝脾
急张拘诸 如痴如醉 如醉如痴 失张失致 失张失志
忧国忧民 忧国爱民 忧深思远 国步艰难 焦思苦虑
无往不克 人强胜天 无往不胜 举世无敌 以弱胜强
遗编断简 遗编绝简 断墨残楮 残编裂简 书缺有间
五子登科 三星在户 百年好事 洞房花烛 三星在天
莫可究诘 不可究诘 寻消问息 不知端倪 归根究柢
外强中瘠 外厉内荏 貌似强大 外刚内柔 色厉内荏
顿足搥胸 切齿拊心 顿足捶胸 跌脚槌胸 跌脚搥胸
枝叶扶苏 浓荫蔽日 郁郁葱葱 枝繁叶茂 郁郁苍苍
骨软筋麻 病病歪歪 顿足捩耳 爬耳搔腮 低首下气
名同实异 同门异户 两般三样 貌离神合 话里有话
无名之师 佳兵不祥 出师无名 敌不可假 理所不容
虫臂鼠肝 鼠肝虫臂 毫发丝粟 土壤细流 一草一木
似箭在弦 一语破的 如箭在弦 矢在弦上 箭在弦上
改行为善 改行从善 改行迁善 推诚布公 改行自新
大中至正 正直无邪 死生有命，富贵在天 是非分明 众目昭彰
避凶趋吉 违害就利 乐极则忧 避祸就福 乐不可极
仪静体闲 鹄峙鸾停 兰质薰心 兰质熏心 林下高风
安贫乐贱 抱瓮灌园 玩故习常 因陋就寡 忍辱偷生
爱人利物 路叟之忧 怜贫恤老 扶危救困 济苦怜贫
无施不效 策无遗算 所向克捷 言从计纳 事以密成
福无双至 福不重至，祸必重来 福无双至，祸不单行 来世不可待 福过灾生
刮垢磨痕 大浪淘沙 激浊扬清 涤瑕荡秽 一扫而空
龙头蛇尾 草率收兵 筐箧中物 千了百了 鲁卫之政
南山铁案 条条框框 既成事实 无庸置疑 无可置疑
毛发耸然 毛森骨立 毛发悚然 毛骨悚然 乍毛变色
求贤如渴 求贤若渴 爱才如渴 爱才若渴 三吐三握
前襟后裾 情重姜肱 灼艾分痛 煮粥焚须 灸艾分痛
矜平躁释 恢宏大度 平心静气 神怡心旷 雅量高致
水陆杂陈 甘旨肥浓 肥鱼大肉 八珍玉食 酒醉饭饱
行远升高 学如登山 循序渐进 竿头一步 水长船高
安于盘石 文丝不动 盘石之安 磬石之固 盘石之固
出丑扬疾 妆模作样 撒娇卖俏 逞强称能 自我表现
鹄峙鸾停 凤骨龙姿 霞姿月韵 绰约多姿 兰心蕙性
托之空言 以文会友 寓意深长 寓意深远 寓情于景
危于累卵 以卵敌石 泥足巨人 危如累卵 脆而不坚
慷慨悲歌 悲歌慷慨 高歌猛进 勇往直前 铁板歌喉
一不压众，百不随一 寡不胜众 三拳不敌四手 寡不敌众 身单力薄
事过情迁 一反常态 心回意转 意转心回 变心易虑
耳根清净 万籁无声 万赖无声 万赖俱寂 阒无人声
不可胜记 不可胜纪 略知一二 大同小异 略窥一斑
璧坐玑驰 潘文乐旨 修辞立诚 咳珠唾玉 言文行远
济世安民 治国安邦 保国安民 安国富民 富国安民
济世安人 济世救人 救世济民 救困扶危 利时及物
系风捕影 系风捕景 道傍之筑 钻火得冰 一手托天
过桥抽板 鸟得弓藏 过桥拆桥 右传之八章 卸磨杀驴
刻骨相思 入骨相思 雨踪云迹 落月屋梁 绨袍之义
讨是寻非 条三窝四 无事生非 深文巧诋 挑拨离间
