深山幽谷 深山长谷 深山穷谷 深山穷林 深山老林
履险蹈危 知难而进 临危致命 挺而走险 权时制宜
引经据典 牵经引礼 悲歌击筑 不废江河 引经据古
天差地远 大有径庭 卵石不敌 天冠地屦 相去悬殊
思患预防 杜隙防微 防患未萌 有备无患 枉突徙薪
胡猜乱想 不顾大局 无所重轻 不值一驳 无关大局
使乖弄巧 上下其手 迎奸卖俏 斗唇合舌 弄神弄鬼
不吝指教 不足为意 舍生忘死 来世不可待 不足为虑
持之以恒 娓娓而谈 贼心不死 接连不断 说来说去
所见略同 心口相应 众口同声 百口同声 众口一词
恪守不渝 洁身自守 秘而不露 坚守不渝 安份守己
身无寸缕 上无片瓦，下无插针之地 胸无点墨 上无片瓦，下无卓锥 寂天寞地
心口相应 行合趋同 协心戮力 众口一辞 义不反顾
破烂不堪 破烂流丢 茫无端绪 杂乱无序 杂乱无章
时移势迁 事出有因 持权合变 事过情迁 不乏先例
蕤宾铁响 画意诗情 诗情画意 珠歌翠舞 鲜艳夺目
鲁卫之政 一肢半节 小异大同 一斑半点 郐下无讥
遭倾遇祸 履险蹈危 遭劫在数 月值年灾 多灾多难
发扬光大 阐扬光大 踵事增华 继往开来 推崇备至
事与原违 轻重倒置 言行不符 名不符实 言不顾行
款曲周至 体贴入微 和蔼可亲 和蔼近人 问寒问暖
神枢鬼藏 雄才大略 雄材大略 宏才大略 超世之才
匠心独具 匠心独运 独得之见 别出手眼 别具手眼
违强陵弱 扶弱抑强 锄强扶弱 违害就利 安良除暴
轻身重义 舍生忘死 不顾大局 重气轻生 重气轻命
劳而无功 量小力微 徒劳无功 苦中作乐 外强中瘠
引以为荣 凤附龙攀 以德服人 尊主泽民 颂德歌功
穷困潦倒 民生凋敝 在陈之厄 冷窗冻壁 牛衣岁月
黄龙痛饮 所向克捷 乘利席胜 苦尽甜来 心满意得
趋时附势 趋时奉势 攀炎附热 趋权附势 与世浮沉
欢聚一堂 杯酒言欢 普天同庆 春宵一刻 溥天同庆
挨三顶五 雾集云合 雨凑云集 云屯蚁聚 云屯星聚
不吝指教 不露形色 来世不可待 能不称官 舍生忘死
倒峡泻河 龙跳虎卧 龙飞虎跳 龙章秀骨 拏风跃云
琵琶旧语 割地求和 相忍为国 弃甲投戈 来好息师
抛乡离井 舍近务远 云收雨散 游必有方 去危就安
诗礼人家 洒扫应对 大逆无道 礼崩乐坏 伤化败俗
物归原主 返本还元 返本朝元 还原反本 弃瑕录用
不容置喙 以杀去杀 以杀止杀 不露形色 事不过三
天灾地妖 天灾地变 飞来横祸 飞灾横祸 国难当头
千里结言 义结金兰 杯酒言欢 串亲访友 淫朋密友
牛衣岁月 枯鱼病鹤 啮雪餐毡 冷窗冻壁 囊匣如洗
艰难困苦 如蹈水火 狼艰狈蹶 若涉渊水 生民涂炭
点头咂嘴 推崇备至 称赏不已 知遇之恩 鼓舞人心
黏吝缴绕 合而为一 通同一气 混混沌沌 纷乱如麻
乐善不倦 茁壮成长 方滋未艾 方兴未已 协心戮力
金屋娇娘 温香艳玉 花颜月貌 仙姿玉色 杏脸桃腮
终而复始 来回来去 层见错出 层出迭见 层出叠见
膏腴贵游 豪门巨室 金门绣户 家道从容 家累千金
急于求成 汲汲皇皇 孳孳汲汲 孜孜汲汲 连二赶三
弄假成真 信而有证 惟妙惟肖 假门假事 事核言直
明赏不费 爱日惜力 知遇之恩 代人说项 代为说项
随地随时 随时随地 从心所欲 顺时而动 言从计纳
国富民安 物阜民康 物阜民丰 民富国强 国富民强
担雪塞井 担雪填井 担雪填河 井中求火 堙谷堑山
一室生春 怡然自若 神完气足 欢聚一堂 色色俱全
雄文大手 金丹换骨 大放厥辞 超世之才 雅人韵士
同心一力 同心叶力 同心合力 同心并力 协心同力
倒山倾海 天摇地动 叱嗟风云 拔山举鼎 回山倒海
避瓜防李 避李嫌瓜 避毁就誉 避人耳目 不露形色
语无诠次 搀前落后 不屑教诲 不露形色 此风不可长
人强胜天 人众胜天 骁勇善战 有胆有识 超世之才
不瞅不睬 不偢不倸 收视反听 飘风过耳 反听收视
一心同归 行合趋同 所见略同 众口一辞 心口相应
立时三刻 一朝之患 骤不及防 飞灾横祸 飞来横祸
各执己见 终而复始 持盈守成 终始不渝 长此以往
无虑无思 无服之丧 恬不知怪 安然无事 遁世无闷
自食其力 民生在勤 忍苦耐劳 自给自足 南贩北贾
东踅西倒 爬山涉水 登山越岭 磨穿铁鞋 餐风咽露
多才多艺 博学多才 逸群之才 才学兼优 运用自如
偃武息戈 放马华阳 马入华山 多管闲事 散马休牛
狼吞虎餐 狼餐虎咽 狼吞虎咽 来势汹汹 形色仓皇
奋发踔厉 英姿勃勃 激昂慷慨 神飞气扬 奋发有为
融释贯通 融会通浃 融汇贯通 毫分缕析 深切著明
知遇之恩 点头咂嘴 令人起敬 推崇备至 识才尊贤
餐风茹雪 餐风啮雪 宿水餐风 餐风咽露 餐风宿草
博学多才 通文达艺 通才练识 才学兼优 高才远识
赤身裸体 原形败露 合盘托出 微机四伏 危机四伏
蕤宾铁响 朱弦三叹 匠心独具 弹丝品竹 逸群之才
危急存亡之秋 命若悬丝 百死一生 死里求生 进退维亟
表里相依 河同水密 生死与共 痛痒相关 生死相依
豕窜狼逋 溃兵游勇 卷甲束兵 波波碌碌 把臂徐去
蝇头蜗角 蝇名蜗利 蜗角蝇头 蜗角虚名 蝇头微利
马如游龙 蜂拥而上 马如流水 流水游龙 挨三顶五
祝发空门 各为其主 据为己有 自得其乐 自食其力
自不待言 口无择言 无庸置辩 可想而知 无所忌讳
见义必为 见义勇为 负气仗义 见义敢为 见义当为
清莹秀澈 冰洁渊清 冰清玉洁 玉润冰清 玉清冰洁
安份守己 安分守已 奉公如法 公事公办 公正无私
避李嫌瓜 避瓜防李 攻疾防患 防患未萌 避人耳目
拿贼见赃 拿贼拿赃 揭箧担囊 漫藏诲盗 主守自盗
客死他乡 浪迹浮踪 天年不测 他乡异县 諠客夺主
唯所欲为 逍遥自得 逍遥自在 横无忌惮 放意肆志
匠心独运 匠心独具 取精用宏 别具匠心 清新俊逸
鳌里夺尊 铮铮佼佼 脱颖囊锥 超群轶类 出口入耳
壮发冲冠 汪洋自恣 拏风跃云 磊落飒爽 壮气吞牛
宿学旧儒 文籍先生 读书种子 一介书生 读书君子
何足介意 旁枝末节 羌无故实 多管闲事 一无所求
才学兼优 斐然成章 博学多才 言之有序 通文达艺
人非物是 百世不易 终始不渝 连绵不绝 不易之典
文修武偃 兴文匽武 揆文奋武 治国安邦 进善退恶
天摇地动 叱嗟风云 虎狼之势 风行电击 倒山倾海
毫不利己，专门利人 全心全意 可想而知 惟利是图 惟利是视
坚执不从 不自满假 守正不回 守分安常 应变无方
优游自在 适性任情 切理厌心 言行相符 刚柔相济
忿然作色 啼啼哭哭 无明业火 哭哭啼啼 哭天喊地
七慌八乱 丢魂丧胆 心寒胆战 心殒胆落 失魂丧胆
脏污狼藉 贪而无信 救过不赡 大败亏轮 亏心短行
鬼哭狼嚎 嚎天喊地 狼号鬼哭 嚎天动地 啼天哭地
苦尽甜来 鸟枪换炮 宿弊一清 足兵足食 事以密成
自视甚高 以人为镜 逸群之才 才识过人 志高气扬
偃革尚文 偃武崇文 偃武息戈 收刀检卦 放马华阳
置之死地 见势不妙 趁人之危 不切实际 恶作剧
刃迎缕解 连二赶三 干净利索 天从人原 飞书走檄
言颠语倒 言不顾行 话里有话 话中有话 言高语低
画荻丸熊 画荻和丸 画荻教子 天上麒麟 舐犊情深
多谋善断 精明能干 精明强干 心巧嘴乖 雄才大略
附势趋炎 根株附丽 淮王鸡狗 傍人篱落 附凤攀龙
雄姿英发 英姿勃勃 意气高昂 龙章凤彩 离离矗矗
钻心刺骨 狐埋狐搰 深刺腧髓 自掘坟墓 掘井及泉
戴圆履方 寸地尺天 蹑足附耳 遗簪坠舄 柱天踏地
不饥不寒 优游岁月 不避艰险 家给人足 舒眉展眼
假慈悲 敬老慈幼 慈乌反哺 慈乌返哺 慈悲为本
不知起倒 不知世务 不知利害 半懂不懂 查无实据
百死一生 危急存亡之秋 命若悬丝 急痛攻心 进退维亟
低眉垂眼 闭口藏舌 胁肩低眉 低声哑气 一暝不视
求益反损 里通外国 谋财害命 东窗计 图财害命
益国利民 安国宁家 济世安民 出以公心 历精图治
雍容大度 鹄峙鸾停 典则俊雅 雅量高致 英英玉立
开来继往 流风余俗 蹈常习故 凿柱取书 良弓无改
饭粝茹蔬 划粥割齑 恶衣粝食 黄齑白饭 敝綈恶粟
金兰之交 金石之坚 铁心石肠 刚柔相济 确乎不拔
大权在握 兼官重绂 重望高名 人多势众 威重令行
狗屁不通 言行相悖 涤瑕蹈隙 是非口舌 调三斡四
博学多才 洽闻强记 利齿能牙 远见卓识 才识过人
世扰俗乱 不正之风 见势不妙 世道人心 败俗伤化
画土分疆 画野分疆 列土封疆 分茅赐土 分茅胙土
玉碎香消 玉碎香销 香消玉殒 玉碎香残 柳折花残
朴素无华 简要不烦 省烦从简 少吃俭用 以简驭繁
信守不渝 终始不渝 始终不懈 坚守不渝 誓死不渝
生动活泼 丰富多彩 谈论风生 博学多才 议论风发
心狠手辣 蛇心佛口 佛口蛇心 狠心辣手 心辣手狠
千汇万状 丰富多彩 殊形妙状 丰富多采 生动活泼
刻肌刻骨 感人肺腑 满腔热枕 真情实感 荡魂摄魄
超群越辈 轶群绝类 超群出众 超群拔类 超世绝伦
坚持不渝 坚守不渝 百世不易 矢志不渝 没世不渝
眼花心乱 疑团满腹 满腹疑团 疑鬼疑神 闷葫芦
安邦治国 治国安邦 济世安人 反正拨乱 柔远镇迩
心如刀割 心如刀绞 急痛攻心 害人不浅 苦难深重
修辞立诚 真情实意 信而有证 真情实感 深情底理
表里相依 铜打铁铸 铁板一块 根牢蒂固 三环五扣
得意之作 至善至美 十全十美 称心满意 可心如意
方寸已乱 一反常态 轻重倒置 捐弃前嫌 言与心违
调神畅情 旷心怡神 怡性养神 神怡心旷 怡志养神
造谣惑众 哗众取宠 造谣生非 讹言惑众 造谣生事
纷纷不一 光彩陆离 杂乱无序 千汇万状 歪八竖八
了不可见 若隐若现 无颜落色 见物不见人 一无所获
坐享其功 不随以止 舍生忘死 见死不救 欲人勿知，莫若勿为
龙心凤肝 龙肝凤脑 龙肝凤髓 龙肝豹胎 凤髓龙肝
言从计纳 公听并观 各抒所见 协心戮力 同心合力
鼻端生火 驱霆策电 载驰载驱 载驱载驰 策马飞舆
舍死忘生 舍生忘死 忘生舍死 不管三七二十一 舍己为人
中立不倚 各执己见 所见略同 无偏无陂 直抒己见
引以为憾 时运不济 当面错过 愧不敢当 事与原违
急处从宽 旁枝末节 相差无几 无忧无虑 不足为虑
地棘天荆 荆棘满途 荆天棘地 棘地荆天 荆棘载途
从俗就简 鲁卫之政 要而言之 八九不离十 铢两相称
体物缘情 抽秘骋妍 一吟一咏 诗家三昧 谢家活计
枝繁叶茂 繁枝细节 千汇万状 丰富多彩 名目繁多
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 颠来簸去
忍辱含垢 忍辱含羞 含垢忍耻 含污忍垢 忍尤含垢
七步之才 才高七步 连三跨五 脱颖囊锥 动如脱兔
败德辱行 见利忘义 贪而无信 坏法乱纪 作歹为非
神醉心往 心向往之 心乡往之 长虑却顾 长虑后顾
春和景明 饶有风趣 鲜艳夺目 识微见远 千汇万状
修辞立诚 信而有证 随事制宜 去伪存真 真心真意
奋发踔厉 英姿勃勃 激昂慷慨 神飞气扬 志美行厉
杨雀衔环 杨生黄雀 犬马之报 被泽蒙庥 黄雀衔环
始终不懈 永矢弗谖 终始不渝 接连不断 终始若一
重望高名 三台八座 一官半职 高官尊爵 阳春有脚
事出有因 触目警心 随事制宜 修辞立诚 触目崩心
只言片语 孤文断句 自树一帜 言之有物 托物陈喻
和颜说色 和容悦色 假以辞色 假人辞色 怡颜悦色
扬厉铺张 溢美之语 溢美之言 大张声势 夸大其词
耳听心受 倾耳而听 所见所闻 倾耳细听 口耳相传
做张做势 妆模作样 开弓不放箭 做张做致 做张做智
百紫千红 砌红堆绿 花攒锦簇 花明柳媚 五光十色
分烟析产 各就各位 别籍异居 各安生业 分居异爨
玉减香销 柳啼花怨 萎糜不振 玉惨花愁 灰心槁形
弄眉挤眼 鄙夷不屑 挤眉弄眼 狗眼看人 横眉冷目
见机而作 急起直追 相机而动 立时三刻 奋起直追
贪财好色 好色之徒 利欲熏心 有利可图 射利沽名
汗流洽衣 汗流浃肤 浃背汗流 汗出洽背 汗流夹背
形单影双 孤苦零丁 无依无靠 孤悬浮寄 孤舟独桨
历精更始 励精更始 顺时而动 发奋图强 括目相待
拍马溜须 奴颜婢睐 服低做小 伏低做小 做小伏低
胸怀磊落 十全十美 完美无缺 完美无疵 大中至正
断决如流 令行如流 驽箭离弦 应对如流 决断如流
普天同庆 溥天同庆 欢聚一堂 举世瞩目 举国一致
醉生梦死 酗酒滋事 如醉初醒 恍如梦境 眩目惊心
泰山其颓 孤鸾照镜 殊深轸念 惊心悲魄 触目崩心
一山不藏二虎 水里纳瓜 冰炭不投 冰炭不同炉 势如水火
笑不可仰 忍俊不住 哑然失笑 掩口失声 掩口葫芦
旷日累时 费力劳心 迁延岁月 旷日持久 七担八挪
旧话重提 负俗之累 人言啧啧 重纰貤缪 缪种流传
敢为敢做 勇者不惧 艰苦奋斗 敢作敢当 不避艰险
返邪归正 回邪入正 洒心更始 返本朝元 返本还元
如醉如梦 昏昏噩噩 如堕烟雾 昏头搭脑 云天雾地
不屑教诲 不足介意 言而不信 不足与谋 不足为凭
原始反终 盘古开天地 讨流溯源 列祖列宗 原始要终
升官发财 加官进禄 发财致富 功名富贵 进禄加官
矫情饰诈 做鬼做神 虚情假意 打马虎眼 耍花腔
夹枪带棒 泥中隐刺 浸润之谮 别具肺肠 淫言诐行
唇尖舌利 陵劲淬砺 来势汹汹 龙盘虎拏 离离矗矗
年衰岁暮 风烛之年 七老八十 景入桑榆 残年余力
趋吉避凶 东藏西躲 东躲西藏 违害就利 避祸求福
枉勘虚招 易俗移风 威胁利诱 威迫利诱 含冤负屈
关门闭户 深扃固钥 万籁无声 万赖俱寂 万赖无声
终始不渝 始终不懈 终始若一 持盈守成 根牢蒂固
壮气凌云 来势汹汹 人多势众 雄伟壮观 龙腾虎啸
彰明较着 荦荦大者 深切著明 深切着明 明效大验
翻江倒海 风驰雨骤 滂沱大雨 滔滔滚滚 大雨滂沱
表里受敌 遵养晦时 事出有因 背腹受敌 四面受敌
穷源溯流 溯流穷源 溯水行舟 力争上游 逆水行舟
正直无邪 大中至正 秉正无私 公正不阿 公正无私
层见叠出 层出不穷 层见迭出 返来复去 层见错出
得过且过 未定之天 不期而然 天年不遂 姑妄听之
相沿成习 日以为常 习以成俗 积习成俗 习俗移性
乌头白，马生角 乌头白马生角 煎水作冰 钻火得冰 一手托天
喜怒哀乐 即景生情 人非土木 触景生情 睹物兴情
剗恶锄奸 刬恶锄奸 革奸铲暴 讨恶翦暴 祛蠹除奸
论议风生 论辩风生 谈论风生 谈吐生风 饶有风趣
抉瑕摘衅 鸡蛋里找骨头 嫌好道歹 挑毛拣刺 披毛索靥
笔耕砚田 极智穷思 将勤补拙 匡衡凿壁 费力劳心
诸若此类 诸有此类 诸如此比 诸如此例 旁搜博采
跅弛不羁 大言不惭 恶不去善 不落俗套 不足为意
原始反终 讨流溯源 穷源朔流 推本溯源 钩玄猎秘
进贤退愚 使贤任能 任贤使能 磨昬抉聩 简贤任能
身非木石 罪不容诛 去甚去泰 助人下石 以毁为罚
发宪布令 元戎启行 诘戎治兵 无天于上，无地于下 椎锋陷阵
兹事体大 相因相生 有根有苗 大权在握 相生相成
火上弄冰 手到拈来 热熬翻饼 掌上观纹 掌上观文
话中带刺 无稽之言 未敢苟同 答非所问 郑人买履
魂摇魄乱 张眉张眼 惊慌失色 惊惶失色 吃惊受怕
卤莽灭裂 草率将事 顾头不顾尾 瞎子摸鱼 畏影恶迹
持危扶颠 临危受命 出夷入险 救困扶危 扶危救困
冷酷无情 漠不关心 冷心冷面 残暴不仁 不近道理
曲尽奇妙 移星换斗 井井有方 强嘴硬牙 俐齿伶牙
语重心长 壮气凌云 豪情壮志 犀角烛怪 雄深雅健
遁天妄行 倒行逆施 黄风雾罩 横行逆施 误作非为
山砠水厓 深山野墺 偏乡僻壤 穷乡僻壤 穷山僻壤
大错特错 千差万错 谬以千里 大败亏轮 千疮百孔
隐居求志 肥遯鸣高 息交绝游 遁世长往 箕山挂瓢
劳而无功 轻虑浅谋 徒劳无功 名不符实 忙不择价
阒然无声 无声无息 无伤无臭 万赖俱寂 万赖无声
见义勇为 秉正无私 义不反顾 正直无邪 见义必为
无际可寻 不爽毫发 无所畏忌 无所忌讳 分毫不爽
有嘴没舌 顿口拙腮 拙嘴笨舌 拙口笨腮 拙口钝腮
凤仪兽舞 通幽洞灵 逞异夸能 钩玄猎秘 梯愚入圣
转日回天 回山倒海 回天之力 风行草靡 倒山倾海
祸近池鱼 祸及池鱼 伤筋动骨 损军折将 损兵折将
马到功成 开华结果 马到成功 初试锋芒 初露锋芒
无可名状 不分伯仲 没计奈何 禀性难移 钩金舆羽
逢场作乐 逢场作趣 逢场游戏 追欢取乐 买笑寻欢
浆水不交 一清如水 臣心如水 脂膏不润 饮马投钱
如狼似虎 狼顾虎视 狼心狗肺 狗行狼心 狼吞虎噬
蔑伦悖理 败德辱行 违条犯法 玩忽职守 邪魔歪道
天差地远 大有径庭 天壤悬隔 迥乎不同 天冠地屦
潜形匿迹 秘而不露 讳莫高深 不露神色 隐迹埋名
泣下如雨 触目伤心 触目伤怀 触目崩心 触景伤怀
殊形妙状 诡形奇制 怪形怪状 奇形异状 奇才异能
造言生事 砌词捏控 造言捏词 造谣生事 造谣惑众
衔玉贾石 衒玉贾石 炫石为玉 炫玉贾石 卖爵鬻官
多历年稔 积日累久 成年古代 地老天荒 天荒地老
东南之宝 东南之秀 东南之美 南州冠冕 家骥人璧
同心合力 同心并力 同心叶力 同心一力 协心戮力
联篇累牍 盈篇累牍 连篇累册 连篇累幅 连篇累帙
世扰俗乱 麋沸蚁动 横冲直撞 杂乱无序 坏法乱纪
天授地设 油然而生 天生天化 起根发由 自生自灭
不因不由 不禁不由 摸门不着 束装盗金 摸头不着
盘石之固 铁壁铜墙 银山铁壁 不拔之志 磬石之固
折胶堕指 雪窑冰天 冰天雪窑 岁暮天寒 碎琼乱玉
所见略同 行合趋同 一模一样 众口同声 百口同声
询事考言 日省月试 称德度功 三曹对案 论功受赏
千恩万谢 感恩怀德 令人起敬 代人说项 谆谆告戒
累教不改 话里藏阄 悬而未决 藏头亢脑 一口一声
数不胜数 不计其数 更难仆数 更仆难尽 更仆难终
波波碌碌 知难而进 三步两脚 束装就道 来势汹汹
荡魂摄魄 惊耳骇目 惊心眩目 感人肺腑 骇人视听
怙过不悛 为恶不悛 矢口抵赖 矢口否认 造恶不悛
毫不利己，专门利人 不管三七二十一 不顾大局 惟利是视 惟利是图
囊匣如洗 身无分文 生民涂炭 步雪履穿 倦尾赤色
杅穿皮蠹 移樽就教 杯中之物 藏器待时 杯水之敬
和蔼近人 和蔼可亲 心慈面软 闻融敦厚 随方就圆
弱本强末 医时救弊 相忍为国 损上益下 精兵简政
情投意忺 情投谊合 莫逆于心 义气相投 言和意顺
清汤寡水 油腔滑调 语言无味 油嘴花唇 食生不化
乐往哀来 春意阑珊 云飞烟灭 名存实亡 覆亡无日
超世之才 曾无与二 逸群之才 岳岳磊磊 重望高名
通文达艺 博学多才 才学兼优 雄才大略 论议风生
潜移默运 不事边幅 潜移默夺 心不由意 不在话下
好心好意 盘古开天地 扶危救困 拜恩私室 来而不往非礼也
文子同升 仰事俛畜 簪缨世胄 金闺玉堂 南阮北阮
钜学鸿生 通才硕学 博学多才 有识之士 宏儒硕学
女长须嫁 男大当娶 成家立计 男大须婚 事出有因
光彩耀目 胸怀磊落 灯火辉煌 神流气鬯 洞察一切
回肠寸断 千状万端 呕心抽肠 凄入肝脾 剖肝泣血
七上八落 失张失致 失张失志 亡魂丧魄 七上八下
忧国忧民 忧国爱民 忧深思远 心事重重 人不自安
纵横天下 所向克捷 无施不可 全智全能 全知全能
断墨残楮 遗编断简 遗编绝简 残编裂简 断缣寸纸
五子登科 三星在户 百年好事 荣谐伉俪 朱陈之好
不可究诘 莫可究诘 查无实据 寻消问息 不了不当
外厉内荏 外强中瘠 貌似强大 色厉胆薄 色厉内荏
顿足搥胸 顿足捶胸 切齿拊心 右传之八章 拊膺顿足
枝繁叶茂 离离矗矗 龙腾虎啸 热情洋溢 茂林修竹
招架不住 无计奈何 末如之何 万不得已 格格不纳
名同实异 本同末离 同门异户 两般三样 异名同实
理所不容 横恩滥赏 不容置喙 此风不可长 不及之法
虫臂鼠肝 鼠肝虫臂 毫发丝粟 鸡头鱼刺 鸡毛蒜皮
成算在心 似箭在弦 端倪可察 如箭在弦 胸有成略
改行为善 改行迁善 改行从善 正身明法 正己守道
天理昭彰 天理昭昭 一清二楚 正直无邪 凿凿可据
不随以止 不露形色 舍生忘死 避瓜防李 避毁就誉
鹄峙鸾停 仪静体闲 兰心蕙性 眉目如画 雍容华贵
玩故习常 熬清守谈 东游西荡 栖冲业简 安贫乐贱
路叟之忧 扶危救困 爱人利物 访贫问苦 持危扶颠
无施不效 人尽其才 所向克捷 无施不可 洞察一切
贵贱无常 乐不可极 人不可貌相 一个巴掌拍不响 来世不可待
涤故更新 涤瑕荡秽 去粗取精 捐弃前嫌 除旧更新
龙头蛇尾 白眉赤眼 石火风烛 石火风灯 筐箧中物
南山铁案 禀性难移 罪不可逭 情不可却 条条框框
乍毛变色 毛发耸然 毛森骨立 毛发悚然 毛骨悚然
求贤若渴 求贤如渴 三吐三握 求贤下士 思贤如渴
前襟后裾 灼艾分痛 长枕大被 长枕大衾 煮粥焚须
平心易气 闻融敦厚 宽大为怀 温文儒雅 平心静气
水陆杂陈 甘旨肥浓 三牲五鼎 八珍玉食 饫甘餍肥
行远升高 循序渐进 竿头一步 水长船高 有增无已
敦默寡言 坦然自若 原封未动 优游自若 言笑自如
妆模作样 引以为耻 逞强称能 拿腔作调 徇私作弊
鹄峙鸾停 鸿轩凤翥 相貌堂堂 眉目如画 兰心蕙性
托之空言 寓情于景 抽秘骋妍 言为心声 言文行远
破烂不堪 外强中瘠 破烂流丢 断线偶戏 貌似强大
慷慨悲歌 悲歌慷慨 勇往直前 高歌猛进 壮气凌云
敌不可纵 禀性难移 不解之仇 有国难投 束手就困
时移世异 事过情迁 变心易虑 事往日迁 放马华阳
万赖俱寂 万赖无声 万籁无声 悄然无声 阒无人声
不可胜记 不可胜纪 不知端倪 较短量长 凫胫鹤膝
修辞立诚 璧坐玑驰 潘文乐旨 一字连城 奇文瑰句
济世安民 安国富民 富国安民 保国安民 治国安邦
济世救人 救困扶危 救急扶伤 扶危救困 救世济民
系风捕影 系风捕景 捕风捉影 捕影系风 望风而降
过桥抽板 痛剿穷迫 打人骂狗 竭尽全力 右传之八章
白首为郎 百世流芬 叹老嗟卑 遗恨千古 寸心千古
披毛求疵 招是搬非 无事生非 挑拨离间 讨是寻非
难乎为继 难以为继 江山好改，秉性难移 江山易改，秉性难移 未能免俗
稳步前进 照章办事 言行相符 随事制宜 假门假事
深仇大恨 深雠大恨 嫉贪如雠 贵贱无二 通忧共患
超凡出世 超然自逸 徙善远罪 超然远引 超然远举
雷嗔电怒 瞠目而视 怒气冲冲 大动肝火 直眉睖眼
默默无言 悄然无声 渺无音讯 寂然不动 兴如嚼蜡
张慌失措 惊惶无措 慌不择路 计穷势蹙 张眉张眼
