无可名状 不可胜道 不堪言状 百端交集 悱恻缠绵
铁板铜弦 倒峡泻河 海立云垂 徜徉恣肆 雄深雅健
计功行赏 照功行赏 班功行赏 论功封赏 论功行赏
病国殃民 误国殃民 辱国殄民 辱国殃民 移国动众
九关虎豹 鸷击狼噬 剥皮抽筋 豺狼之吻 恨如头醋
三求四告 再三再四 嫌长道短 一而再，再而三 千叮万嘱
举措失当 举措不当 势在必行 随时制宜 因地制宜
疑团莫释 不知头脑 疑误天下 犹豫不决 满腹疑团
恶积祸盈 作恶多端 滔天大罪 罪应万死 滔天之罪
霞姿月韵 神清骨秀 楚楚可人 仙姿玉质 神清气朗
另谋高就 不务正业 别作良图 革旧图新 忙里偷闲
金章紫绶 紫绶金章 拖青纡紫 重金兼紫 纡金曳紫
领异标新 别出新意 别出新裁 自成一格 别开蹊径
冰天雪窑 雪窑冰天 冰天雪地 冰雪严寒 天寒地冻
舍旧谋新 革旧图新 除旧更新 除旧布新 刬旧谋新
展脚伸腰 泰山其颓 吊死问疾 只鸡絮酒 生荣死衰
无名小辈 鼠雀之辈 泥猪疥狗 血口喷人 恶语伤人
世上无难事 不避艰险 无所畏忌 纵横天下 无所畏惮
飞来横祸 飞灾横祸 殃及池鱼 天有不测风云 无妄之灾
痛心绝气 捶胸跌脚 捶胸跌足 捶胸顿脚 疾首痛心
犬马之年 一日之长 敬老尊贤 七老八十 都头异姓
叹老嗟卑 老大无成 白首为郎 岁不我与 白首一节
出言有章 词严义密 言必有据 理正词直 谠言嘉论
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 飞砂扬砾
诡言浮说 没查没利 矫言伪行 高谈大论 望风捕影
各取所需 见机行事 正中下怀 从心所欲 短中取长
钻冰求火 钻冰取火 镂冰炊砾 道傍之筑 面壁磨砖
近交远攻 亲仁善邻 百般奉承 做好做恶 打击报复
十死一生 入死出生 百死一生 命若悬丝 燕巢卫幕
深山长谷 深山穷谷 深山幽谷 深山密林 深山穷林
挺而走险 临危致命 知难而进 临危授命 愤不顾身
引经据典 引经据古 牵经引礼 繁征博引 不废江河
卵石不敌 天冠地屦 天差地远 未可同日而语 大有迳庭
思患预防 杜渐除微 防患未萌 防祸于未然 有备无患
混然天成 无羐无碍 十全十美 胡猜乱想 无忧无虑
使乖弄巧 沾风惹草 迎奸卖俏 卖乖弄俏 弄嘴弄舌
慎小事微 慎小谨微 不矜细行 不知轻重 不足介意
说来说去 娓娓而谈 来回来去 口口声声 娓娓不倦
鲁卫之政 一模二样 众口同声 百口同声 众口一词
秘而不露 秘而不言 秘而不宣 讳莫高深 避人耳目
身无寸缕 上无片瓦，下无插针之地 上无片瓦，下无卓锥 清贫如洗 身无分文
赌咒发誓 永矢弗谖 确固不拔 铜心铁胆 九牛拉不转
破烂不堪 破烂流丢 豕分蛇断 七穿八烂 歪八竖八
时移势迁 时异势殊 时移势易 时移世异 情随事迁
精妙绝伦 蕤宾铁响 神施鬼设 精美绝伦 鸾歌凤舞
寸兵尺铁 尺兵寸铁 蚁斗蜗争 蜗角之争 鲁卫之政
履险蹈危 遭倾遇祸 月值年灾 遭劫在数 一长两短
千古不朽 发扬光大 百世不磨 同垂不朽 阐扬光大
荣古虐今 尊古卑今 非昔是今 贵古贱今 荣古陋今
款曲周至 和蔼近人 和蔼可亲 赤心相待 问寒问暖
神枢鬼藏 语出月胁 雄才大略 异闻传说 出于意表
匠心独运 匠心独具 独运匠心 别具匠心 镂冰劚雪
违强陵弱 扶弱抑强 欺软怕硬 锄强扶弱 怕硬欺软
重气轻命 重气轻生 重义轻生 舍生忘死 轻身重义
劳而无功 徒劳无功 凿隧入井 悬驼就石 量小力微
凤附龙攀 建功立事 移孝为忠 论功受赏 功成名遂
穷困潦倒 十室九匮 身无分文 囊匣如洗 冷窗冻壁
黄龙痛饮 乘利席胜 转败为胜 锦囊还矢 转败为功
趋时附势 趋时奉势 根株附丽 亦趋亦步 一步一趋
欢聚一堂 十日之饮 溥天同庆 杯酒言欢 三五成群
雾集云合 挨三顶五 雨凑云集 云屯雨集 云屯星聚
事不师古 以往鉴来 不吝指教 以人为镜 知往鉴今
倒峡泻河 徜徉恣肆 神龙见首 海立云垂 龙跳虎卧
琵琶旧语 马入华山 割地求和 虚晃一枪 返辔收帆
变躬迁席 心去难留 游必有方 逝将去汝 抛乡离井
洒扫应对 诗礼人家 忠孝节义 树俗立化 德容言功
物归原主 去故就新 返本朝元 返本还元 还珠返璧
在色之戒 以杀止杀 以杀去杀 不容置喙 禁情割欲
天灾地妖 天灾地变 飞来横祸 飞灾横祸 一朝之患
千里结言 春树暮云 暮云春树 义结金兰 啸侣命俦
牛衣岁月 枯鱼病鹤 啮雪餐毡 身无分文 容膝之安，一肉之味
如蹈水火 艰难困苦 狼艰狈蹶 啮雪餐毡 若涉渊水
点头咂嘴 称赏不已 赞声不绝 有目共赏 讽德诵功
黏吝缴绕 缠夹不清 混混沌沌 死求白赖 死乞白赖
平心静气 抖擞精神 抖搂精神 平心易气 秉节持重
金屋娇娘 花颜月貌 章台杨柳 柳夭桃艳 杏脸桃腮
来回来去 终而复始 返来复去 重三叠四 重三迭四
金门绣户 豪门巨室 千金之家 琼厨金穴 富家巨室
急于求成 汲汲皇皇 连二赶三 汲汲忙忙 云霓之望
弄假成真 原来如此 不幸而言中 信而有证 可发一噱
赏不逾时 赏不逾日 赏立诛必 明赏不费 当机立决
随时随地 随地随时 随时制宜 入乡随俗 随时施宜
国富民安 国富民强 物阜民康 民安国泰 国泰民安
担雪塞井 担雪填井 担雪填河 井中求火 敲冰求火
一室生春 欢聚一堂 怡然自若 开眉展眼 哄堂大笑
神施鬼设 雄文大手 金丹换骨 犀角烛怪 潘江陆海
协心同力 同心一力 同心叶力 协力齐心 同心并力
倒山倾海 天摇地动 叱嗟风云 秋风扫叶 拔山举鼎
避李嫌瓜 避瓜防李 闲是闲非 无所回避 嘁嘁喳喳
甄心动惧 慎小谨微 敕始毖终 慎小事微 秉节持重
人强胜天 人众胜天 以弱胜强 骁勇善战 精力充沛
不瞅不睬 不偢不倸 待理不理 不以为意 收视反听
相辅而行 雄唱雌和 鲁卫之政 共为唇齿 不期而同
祸在旦夕 一朝之患 骤不及防 蠹啄剖梁柱 暴风疾雨
欲盖而彰 靡然顺风 沾花惹草 故技重演 横拖倒扯
无虑无思 安然无事 心如止水 无虑无忧 心平气定
自食其力 忍苦耐劳 民生在勤 自给自足 一分耕耘，一分收获
东踅西倒 爬山涉水 百舍重茧 一路风尘 双足重茧
多才多艺 真才实学 博学多才 心中有数 多文为富
边尘不惊 沉烽静柝 马入华山 偃武息戈 放马华阳
狼吞虎咽 狼吞虎餐 狼餐虎咽 狼飡虎咽 狼飡虎食
奋发踔厉 激昂慷慨 神飞气扬 鸡鸣起舞 慷慨激烈
刻章琢句 修辞立诚 心知其意 言之有物 熟读深思
知遇之恩 以誉为赏 点头咂嘴 论功受赏 讽德诵功
餐风茹雪 餐风啮雪 餐风咽露 餐风宿雨 餐风宿露
才学兼优 博学多才 通文达艺 通才练识 才高识远
赤身裸体 原形败露 四肢百骸 暴露无遗 真相毕露
蕤宾铁响 弹丝品竹 多才多艺 引商刻角 祲威盛容
百死一生 危急存亡之秋 十死一生 危急存亡 命若悬丝
表里相依 河同水密 痛痒相关 打得火热 相亲相爱
弃甲曳兵 曳兵弃甲 抛戈弃甲 弃甲倒戈 櫜甲束兵
蝇头蜗角 蝇名蜗利 蜗角蝇头 蜗名微利 蜗角虚名
马如游龙 捱三顶五 捱三顶四 攘来熙往 熙来攘往
祝发空门 剪发被褐 在家出家 剪发披缁 遁迹空门
自不待言 无庸赘述 口无择言 无庸置辩 可想而知
见义勇为 见义必为 见义敢为 见义当为 负气仗义
清莹秀澈 玉洁冰清 玉清冰洁 冰洁渊清 玉润冰清
安分守已 安份守己 奉公如法 照章办事 循途守辙
防芽遏萌 剗恶锄奸 刬恶锄奸 助人下石 除邪惩恶
主守自盗 监临自盗 监主自盗 明抢暗偷 漫藏诲盗
客死他乡 木梗之患 溘然长逝 骨化形销 一命归西
唯所欲为 任达不拘 放达不羁 横无忌惮 放浪无拘
匠心独运 独运匠心 别具匠心 匠心独具 独具匠心
脱颖囊锥 东南竹箭 高人一等 珪璋特达 龙翰凤翼
壮发冲冠 汪洋自恣 噙齿戴发 磊落飒爽 壮气吞牛
一介书生 宿学旧儒 读书君子 书香门第 雁塔题名
得意忘言 可想而知 自不待言 无庸赘述 口口相传
斐然成章 一字连城 奇文共赏 奇文瑰句 神施鬼设
人非物是 翻复无常 蛇化为龙，不变其文 一成不易 好景不长
文修武偃 揆文奋武 治国安邦 兴文匽武 偃武兴文
虎狼之势 秋风扫叶 风激电飞 天摇地动 叱嗟风云
惟利是求 惟利是趋 惟利是视 惟利是图 不管三七二十一
坚执不从 自行其是 和而不唱 应变无方 从心所欲
优游自在 适性任情 枕稳衾温 沁入心脾 沁人心腑
啼啼哭哭 忿然作色 哭哭啼啼 怫然作色 泪流满面
七慌八乱 丢魂丧胆 心寒胆战 心殒胆落 亡魂丧魄
脏污狼藉 贪脏枉法 赃私狼藉 赃货狼藉 赃污狼籍
嚎天喊地 狼号鬼哭 哀天叫地 鬼哭狼嚎 嚎天动地
大工告成 大功毕成 丰功伟绩 大功告成 不赏之功
自视甚高 高自位置 自高自大 高自标誉 高自标树
偃革尚文 偃武崇文 偃武兴文 偃武行文 偃武觌文
自讨没趣 趁人之危 古调单弹 挺而走险 不切实际
刃迎缕解 应刃而解 迎刃以解 迎刃立解 迎刃而理
不可言喻 辞不达义 半吐半露 半吞半吐 言不达意
画荻和丸 画荻丸熊 画荻教子 舐犊情深 天上麒麟
多谋善断 运智铺谋 运计铺谋 万全之计 心巧嘴乖
附势趋炎 根株附丽 淮王鸡狗 攀炎附热 傍人篱落
雄姿英发 意气高昂 龙姿凤采 相貌堂堂 龙章凤彩
深刺腧髓 钻心刺骨 沦肌浃髓 浃沦肌髓 沦浃肌髓
腾空而起 戴圆履方 戴天履地 寸地尺天 戴天蹐地
不饥不寒 家给人足 暖衣饱食 肥甘轻暖 三平二满
敬老慈幼 慈乌反哺 乌鸟私情 敬老慈少 敬老慈穉
不知起倒 不知利害 半懂不懂 深奥莫测 利害得失
百死一生 危急存亡之秋 十死一生 命若悬丝 危急存亡
低眉垂眼 胁肩低眉 胁肩低首 敛色屏气 羞人答答
里通外国 神奸巨蠹 东窗计 图财害命 谋图不轨
经文纬武 安国宁家 济世安民 经济之才 纬武经文
鹄峙鸾停 眉目如画 含章天挺 含章挺生 雍容大度
流风余俗 凿柱取书 安土重旧 良弓无改 变俗易教
饭粝茹蔬 粗衣淡饭 粗茶淡饭 恶衣粝食 黄齑白饭
金兰之交 金石之坚 石赤不夺 石心木肠 坚如盘石
钟鸣鼎重 印累绶若 高官尊爵 一人之下，万人之上 兼官重绂
自厝同异 东怨西怒 惹事生非 是非口舌 一面之词
利齿能牙 多见广识 老成见到 博学多才 通才练识
世扰俗乱 不正之风 世风日下 败俗伤化 败俗伤风
画野分疆 画土分疆 此界彼疆 此疆尔界 列土封疆
玉碎香销 玉碎香消 珠沉玉碎 香消玉殒 柳折花残
省吃俭用 朴素无华 缩衣节口 缩衣啬食 少吃俭用
信守不渝 坚守不渝 誓死不渝 矢忠不二 恪守不渝
生动活泼 丰富多彩 长篇累牍 议论风发 议论风生
佛口蛇心 蛇心佛口 心狠手辣 狠心辣手 狼心狗肺
千汇万状 殊形妙状 奇形怪状 鹤长凫短 怪形怪状
刻肌刻骨 满腔热枕 热情洋溢 真情实感 满腔热忱
超群越辈 褎然居首 褎然冠首 轶群绝类 超群出众
坚持不渝 坚守不渝 至死不渝 始终不渝 生死不渝
满腹疑团 疑团满腹 眼花心乱 大惑不解 迷惑不解
安邦治国 反正拨乱 治国安邦 安国富民 保盈持泰
心如刀绞 心如刀割 急痛攻心 不胜其苦 心如刀搅
修辞立诚 真情实感 言之有序 真情实意 抽秘骋妍
三环五扣 铁板一块 铜打铁铸 痛痒相关 不可动摇
得意之作 十全十美 可心如意 至善至美 名我固当
幡然悔悟 捐弃前嫌 遗魂亡魄 痛悔前非 变心易虑
调神畅情 怡性养神 旷心怡神 怡志养神 娱心悦目
造谣惑众 讹言惑众 流言惑众 造谣生事 哗众取宠
光彩陆离 丰富多彩 千汇万状 纷纷不一 镂金铺翠
了不可见 目不忍视 黑天摸地 伸手不见五指 惨不忍睹
坐享其功 求人不如求己 芝草无根 骄傲自满 不劳而获
龙心凤肝 龙肝豹胎 龙肝凤脑 龙肝凤髓 烹龙煮凤
公听并观 博采众议 虚己受人 言从计纳 询谋谘度
鼻端生火 策马飞舆 载驰载驱 载驱载驰 车驰马骤
舍死忘生 舍生忘死 忘生舍死 破死忘生 舍己救人
中立不倚 秉公任直 遇物持平 公正不阿 持正不阿
引以为憾 事出有因 殊深轸念 愧不敢当 懊悔无及
酒有别肠 日饮亡何 遗簪堕珥 遗簪脱舄 相差无几
地棘天荆 荆棘满途 荆天棘地 棘地荆天 荆棘载途
鲁卫之政 铢两相称 合两为一 合二为一 五雀六燕
体物缘情 诗家三昧 抽秘骋妍 画中有诗 黄锺瓦缶
枝繁叶茂 繁枝细节 千汇万状 丰富多彩 异木奇花
走石飞沙 飞沙走石 飞砂走石 飞沙走砾 飞砂扬砾
忍辱含垢 忍辱含羞 含垢忍耻 含污忍垢 含垢忍辱
高才疾足 高才捷足 连三跨五 击电奔星 疾足先得
攫为己有 掠人之美 损己利人 夺人所好 偷鸡摸狗
神醉心往 神怡心旷 心向往之 心满意得 满腔热枕
春色撩人 春和景明 红情绿意 春暖花香 双柑斗酒
修辞立诚 言之有序 真心实意 真心诚意 笃而论之
奋发踔厉 激昂慷慨 神飞气扬 鸡鸣起舞 志美行厉
杨生黄雀 黄雀衔环 杨雀衔环 一饭千金 投桃之报
接连不断 终而复始 始终不懈 接二连三 接三连四
一人之下，万人之上 阳春有脚 印累绶若 高官尊爵 三台八座
腹非心谤 按捺不住 窝火憋气 欲扬先抑 感慨激昂
只言片语 孤文断句 言之有物 断缣零璧 长篇大套
和容悦色 和颜说色 和蔼近人 和蔼可亲 假人辞色
自我吹嘘 掉舌鼓唇 一尺水翻腾做一丈波 故甚其词 造言生事
耳听心受 口耳相传 倾耳细听 娓娓动听 杜耳恶闻
做张做势 妆模作样 拿腔做势 拿糖作醋 捉班做势
百紫千红 十光五色 花攒锦簇 花天锦地 砌红堆绿
分烟析产 分家析产 分烟析生 各安生业 安常守分
玉减香销 玉惨花愁 玉碎香残 香消玉殒 瘗玉埋香
弄眉挤眼 挤眉弄眼 秋波盈盈 看人眉眼 眉头眼尾
见机而作 相机而动 当机立断 急起直追 顺时而动
贪财好色 好色之徒 射利沽名 奸淫掳掠 有利可图
柳树上着刀，桑树上出血 流汗浃背 手泽之遗 春露秋霜 浃背汗流
形单影双 孤俦寡匹 形只影单 无依无靠 茕茕孑立
历精更始 励精更始 形势逼人 乘时乘势 厉精更始
奴颜婢睐 拍马溜须 低声下气 做小伏低 服低做小
皂白不分 三期贤佞 不分青白 不分青红皂白 不分皂白
断决如流 决断如流 令行如流 驽箭离弦 应答如流
普天同庆 溥天同庆 欢聚一堂 率土同庆 皆大欢喜
如醉初醒 如醉方醒 酩酊烂醉 醉生梦死 如梦如醉
孤鸾照镜 狐死兔泣 风木含悲 捶胸跌足 捶胸顿脚
一山不藏二虎 冰炭不同炉 冰炭不投 水里纳瓜 引绳排根
忍俊不住 哑然失笑 捧腹大笑 笑不可仰 掩口葫芦
旷日累时 旷日持久 旷日离久 迁延岁月 枉费日月
鄙吝复萌 世俗之见 惊愚骇俗 愤世疾邪 皮相之见
无所畏惧 勇者不惧 敢为敢做 浑身是胆 一身是胆
洒心更始 吞刀刮肠 行不贰过 痛自创艾 汶阳田反
如醉如梦 浑然无知 昏昏噩噩 错认颜标 误认颜标
不足与谋 不足介意 不知其详 不容置喙 无可奉告
原始反终 原始要终 穷源朔流 穷原竟委 讨流溯源
升官发财 加官进禄 进禄加官 功名富贵 加官晋爵
矫情饰诈 虚情假意 打马虎眼 耍花腔 撒诈捣虚
浸润之谮 夹枪带棒 暗锤打人 泥中隐刺 血口喷人
劚玉如泥 长颈鸟喙 削铁无声 舌锋如火 陵劲淬砺
年衰岁暮 风烛之年 景入桑榆 漏尽锺鸣 颠毛种种
东躲西藏 东藏西躲 避祸求福 高飞远集 趋吉避凶
俯首就缚 枉勘虚招 绷巴吊拷 绷爬吊拷 掤扒吊拷
深扃固钥 关门闭户 万赖俱寂 万赖无声 万籁无声
根连株逮 枝繁叶茂 连绵不绝 土生土长 异木奇花
海立云垂 倒峡泻河 拏风跃云 壮气凌云 壮气吞牛
荦荦大者 深切着明 深切著明 彰明较着 深切著白
翻江倒海 瓢泼大雨 滂沱大雨 江翻海沸 大雨滂沱
遵养晦时 表里受敌 四面受敌 背腹受敌 以攻为守
穷源溯流 溯流穷源 本末源流 溯水行舟 逆水行舟
秉正无私 正直无邪 公明正大 公正无私 大中至正
层见叠出 层见迭出 重三叠四 重三迭四 层出不穷
临河羡鱼 临川羡鱼 水中捉月 鼠目寸光 捉风捕影
日以为常 习以成俗 相沿成习 习惯成自然 积习成俗
煎水作冰 乌头白，马生角 乌头白马生角 钻火得冰 一手托天
人非土木 情见乎言 情见乎词 喜怒哀乐 即景生情
刬恶锄奸 剗恶锄奸 革奸铲暴 祛蠹除奸 扫除天下
论议风生 论辩风生 饶有风趣 谈论风生 可发一噱
嫌好道歹 抉瑕摘衅 披毛索靥 鸡蛋里找骨头 批毛求疵
笔耕砚田 熟读深思 三余读书 极智穷思 自食其力
杞梓之林 彬彬济济 十步香车 十步香草 以言举人
不管一二 恬不知耻 不管三七二十一 不足为意 瞒心昧己
原始反终 穷源朔流 枝源派本 原始要终 穷原竟委
进贤退愚 进贤黜佞 任贤使能 使贤任能 简贤任能
恶恶从短 诛故贳误 无恶不作 罗织罪名 无恶不造
遣兵调将 遣将调兵 遣将征兵 调兵遣将 临敌易将
东鸣西应 表里相依 痛痒相关 河同水密 貌合心离
火上弄冰 掌上观文 掌上观纹 热熬翻饼 排山压卵
无可名状 闲言冷语 一无可取 百辞莫辩 不堪言状
魂摇魄乱 惊惶失色 惊慌失色 心殒胆落 心寒胆战
卤莽灭裂 小手小脚 顾头不顾尾 愣头愣脑 草率将事
持危扶颠 救难解危 救困扶危 扶危救困 扶危翼倾
冷酷无情 漠不关心 冷心冷面 无情无义 残暴不仁
析言破律 铁嘴钢牙 析律舞文 井井有方 能言巧辩
金鴗擘海 语重心长 犀角烛怪 言有尽而意无穷 鸿笔丽藻
遁天妄行 脱天漏网 无法无天 没法没天 横行逆施
山砠水厓 深山野墺 山陬海澨 穷乡僻壤 穷山僻壤
大错特错 千差万错 谬以千里 失之毫厘，差以千里 失之毫厘，差之千里
功遂身退 买田阳羡 肥遁鸣高 杀马毁车 卖剑买琴
劳而无功 徒劳无功 凿隧入井 枉费唇舌 徒劳无益
阒无人声 阒然无声 万赖无声 万赖俱寂 万籁无声
见义勇为 见义必为 见义敢为 见义当为 见机而作
粉骨糜躯 殒身碎首 摧身碎首 无所畏忌 无所忌讳
顿口拙腮 拙口钝腮 有嘴没舌 拙口笨腮 拙嘴笨舌
凤仪兽舞 梯愚入圣 革凡成圣 通真达灵 黜昏启圣
转日回天 回山倒海 战无不胜 叱嗟风云 河出伏流
祸近池鱼 祸及池鱼 鱼烂瓦解 城门鱼殃 城门失火，殃及池鱼
马到成功 马到功成 崭露头脚 旗开得胜 初露头角
无与为比 钩金舆羽 无可比伦 曾无与二 无有伦比
逢场作趣 逢场作乐 逢场游戏 逢场竿木 逢场作戏
一清如水 浆水不交 臣心如水 却金暮夜 不染一尘
狗行狼心 狼心狗肺 狗肺狼心 雕心雁爪 鼠心狼肺
蔑伦悖理 败德辱行 逆道乱常 违法乱纪 邪魔歪道
天壤悬隔 天冠地屦 天差地远 未可同日而语 大有迳庭
讳莫高深 隐姓埋名 秘而不宣 不露神色 秘而不露
怆然涕下 泣下如雨 泣数行下 泪如雨下 泪下如雨
殊形妙状 奇形怪状 诡形奇制 怪形怪状 怪模怪样
造言生事 造谣生事 招是搬非 造言捏词 造谣惑众
衔玉贾石 衒玉贾石 炫石为玉 炫玉贾石 还珠返璧
积时累日 积日累岁 穷年累世 万古千秋 积日累久
东南之秀 东南之宝 东南之美 南州冠冕 龙翰凤雏
一心一德 同心合力 同心并力 同心叶力 同心一力
联篇累牍 盈篇累牍 连章累牍 连帙累牍 连篇絫牍
麋沸蚁动 世扰俗乱 不正之风 兵慌马乱 匡乱反正
天授地设 托物陈喻 天生天化 草蛇灰线 风行水上
油然而生 不禁不由 心血来潮 感慨激昂 骈兴错出
盘石之固 磬石之固 银山铁壁 铁壁铜墙 铜打铁铸
冰天雪窑 雪窑冰天 碎琼乱玉 乱琼碎玉 寒风侵肌
一模一样 一心同归 所见略同 同德协力 言行一致
询事考言 将伯之呼 说好说歹 衡短论长 评功摆好
千恩万谢 热心苦口 谆谆告戒 谆谆诰诫 拳拳之枕
直口无言 出词吐气 执迷不醒 话里藏阄 迟疑不断
数不胜数 不计其数 更仆难终 更仆难尽 更难仆数
负重涉远 昼夜兼程 勇往直前 束装就道 波波碌碌
惊耳骇目 骇人视听 荡魂摄魄 骇目惊心 惊心骇瞩
怙过不悛 改过不吝 恪守不渝 顽固不化 知过必改
惟利是求 惟利是趋 惟利是视 惟利是图 毫不利己，专门利人
囊匣如洗 身无分文 上无片瓦，下无卓锥 步雪履穿 生民涂炭
杅穿皮蠹 弓调马服 觥饭不及壶飧 持戈试马 凡事预则立，不预则废
和蔼可亲 和蔼近人 闻融敦厚 蔼然可亲 平易近人
弱本强末 强本弱支 强本弱枝 强本弱末 强干弱枝
莫逆于心 情投意忺 情投谊合 言和意顺 心照情交
清汤寡水 油嘴花唇 油渍麻花 面有菜色 油嘴油舌
春意阑珊 云飞烟灭 覆亡无日 夜阑人静 夜静更阑
曾无与二 旷世无匹 当世无双 天下独步 独步天下
斐然成章 文章宗匠 神施鬼设 犀角烛怪 雄文大手
潜移默运 潜移默转 潜移默夺 移东就西 潜移嘿夺
恩恩相报 小恩小惠 片云遮顶 以德报德 急公好施
文子同升 金闺玉堂 簪缨世胄 衣食税租 平起平坐
钜学鸿生 通才硕学 宏儒硕学 博物君子 学识渊博
男大当娶 男大须婚 女长须嫁 女大须嫁 女大当嫁
灯火辉煌 良宵好景 良宵美景 炳如日星 月白风清
回肠寸断 呕心抽肠 凄入肝脾 剖肝泣血 捶胸顿脚
失张失志 失张失致 急张拘诸 七上八下 七上八落
忧国忧民 忧国爱民 忧深思远 误国殃民 国步艰难
风行草靡 以弱胜强 人强胜天 战无不胜 回山倒海
遗编断简 遗编绝简 断墨残楮 书缺有间 遗编坠简
五子登科 三星在户 百年好事 洞房花烛 大吉大利
莫可究诘 不可究诘 寻消问息 无头无尾 无言可对
外厉内荏 外强中瘠 貌似强大 色厉内荏 外刚内柔
顿足搥胸 切齿拊心 跌脚搥胸 跌脚捶胸 跌脚槌胸
枝繁叶茂 郁郁葱葱 渭川千亩 松茂竹苞 郁郁苍苍
不可奈何 失张失智 万不得已 弓折刀尽 丧胆游魂
名同实异 两般三样 同门异户 异名同实 大同小异
无名之师 出师无名 佳兵不祥 敌不可纵 出师有名
虫臂鼠肝 鼠肝虫臂 毫发丝粟 土壤细流 一针一线
似箭在弦 如箭在弦 箭在弦上 矢在弦上 一语破的
改行为善 改行迁善 改行从善 见善必迁 改行自新
大中至正 天理昭彰 天理昭昭 无可争辩 正直无邪
舍生忘死 乐不可极 违害就利 忘生舍死 宴安鸩毒
鹄峙鸾停 仪静体闲 兰质熏心 兰质薰心 林下风韵
抱瓮灌园 安贫乐贱 删华就素 熬清守谈 优游岁月
爱人利物 国计民生 民生国计 忧国爱民 路叟之忧
无施不效 一言一行 所向克捷 径情直行 功到自然成
福无双至 福不重至，祸必重来 福无双至，祸不单行 无妄之福 来世不可待
涤故更新 涤瑕荡秽 激浊扬清 濯污扬清 激扬清浊
龙头蛇尾 开台锣鼓 同源异流 鲁卫之政 白眉赤眼
南山铁案 条条框框 说一是一，说二是二 生米煮成熟饭 生米做成熟饭
毛发耸然 乍毛变色 毛发悚然 毛骨悚然 寒毛卓竖
求贤若渴 求贤如渴 爱才如渴 爱才若渴 求贤下士
前襟后裾 推梨让枣 长枕大被 煮粥焚须 长枕大衾
平心静气 平心易气 矜平躁释 平心定气 心平气定
水陆杂陈 酒醉饭饱 肥鱼大肉 甘旨肥浓 三牲五鼎
行远升高 循序渐进 学如登山 竿头直上 竿头一步
安于盘石 安如磐石 盘石之固 安如泰山 稳如泰山
出丑扬疾 妆模作样 引以为耻 洁身自守 长傲饰非
鹄峙鸾停 相貌堂堂 仙姿玉质 兰心蕙性 整整截截
以文会友 托之空言 寓情于景 言为心声 寓意深长
危于累卵 以卵敌石 危如累卵 破烂不堪 脆而不坚
高歌猛进 勇往直前 悲歌慷慨 慷慨悲歌 铁板歌喉
寡不敌众 一不压众，百不随一 敌不可纵 众寡不敌 表里受敌
心回意转 意转心回 变心易虑 情随事迁 捐弃前嫌
耳根清净 万赖俱寂 万赖无声 万籁无声 阒无人声
不可胜纪 不可胜记 略知一二 略窥一斑 一知半解
修辞立诚 璧坐玑驰 咳珠唾玉 月章星句 字顺文从
济世安民 富国安民 治国安邦 安国富民 保国安民
济世救人 救世济民 济世安人 救困扶危 救急扶伤
系风捕影 系风捕景 风雨不透 捕影系风 捕风捉影
